# BLOCK:    VELOCITY:    BLOCK_POFV:    AVE_POFV:    ERROR:
           2        4.68  0.00329861  0.00222801  0.00075703
           2        4.76  0.00347222  0.00277778 0.000491046
           2        4.84  0.00393519  0.00231481  0.00114577
           2        4.92  0.00422454  0.00217014  0.00145268
           2           5   0.0249421   0.0125579  0.00875699
           2        5.08   0.0331597   0.0166667   0.0116624
           2        5.16 0.000347222   0.0139468  0.00961632
           2        5.24   0.0021412  0.00503472  0.00204603
           2        5.32  0.00364583   0.0051794  0.00108439
           2         5.4  0.00283565   0.0128472  0.00707925
           2        5.48 0.000231481  0.00856481  0.00589256
           2        5.56 0.000289352  0.00176505  0.00104347
           2        5.64 0.000289352 0.000144676 0.000102301
           2        5.72 0.000173611 8.68056e-05 6.13808e-05
           2         5.8 0.000405093 0.000202546 0.000143222
           2        5.88 0.000347222 0.000173611 0.000122762
           2        5.96   0.0224537   0.0112269  0.00793858
           2        6.04   0.0274884   0.0137442  0.00971863
           2        6.12  0.00381944  0.00190972  0.00135038
           2         6.2 0.000115741 5.78704e-05 4.09205e-05
           2        6.28 0.000173611 8.68056e-05 6.13808e-05
           2        6.36 0.000173611 8.68056e-05 6.13808e-05
           2        6.44 0.000173611  0.00596065  0.00409205
           2        6.52 0.000173611   0.0130208  0.00908436
           2         6.6 0.000347222   0.0168113   0.0116419
           2        6.68 0.000231481   0.0051794  0.00349871
           2        6.76   0.0387731   0.0226273   0.0114168
           2        6.84  0.00329861   0.0157697  0.00881837
           2        6.92 0.000520833 0.000260417 0.000184142
           2           7 0.000868056 0.000434028 0.000306904
           2        7.08  0.00231481  0.00115741 0.000818411
           2        7.16           0           0           0
           2        7.24           0           0           0
           2        7.32           0           0           0
           2         7.4           0           0           0
           2        7.48           0           0           0
           2        7.56           0           0           0
           2        7.64           0           0           0
           2        7.72           0           0           0
           2         7.8           0           0           0
           2        7.88           0           0           0
           2        7.96           0           0           0

           3        0.04           0           0           0
           3        0.12           0           0           0
           3         0.2 0.000289352 9.64506e-05 7.87516e-05
           3        0.28 0.000173611 7.71605e-05 4.16714e-05
           3        0.36  0.00422454  0.00513117  0.00255043
           3        0.44   0.0056713  0.00812114  0.00427879
           3        0.52   0.0116319   0.0303048   0.0147296
           3         0.6   0.0766782   0.0455054   0.0128728
           3        0.68    0.121701   0.0960262    0.031619
           3        0.76   0.0644097   0.0580633   0.0169628
           3        0.84   0.0567708   0.0745177   0.0240856
           3        0.92    0.058912    0.072936   0.0102918
           3           1    0.182176      0.1837   0.0162028
           3        1.08    0.443461    0.262114   0.0740354
           3        1.16    0.272743    0.202508   0.0410439
