#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          74    -3.74988    -3.76767  0.00204436
          75    -3.75092    -3.76745  0.00202926
          76    -3.75202    -3.76725  0.00201269
          77    -3.75317    -3.76706  0.00199483
          78    -3.75377    -3.76689  0.00197653
          79    -3.75502    -3.76674  0.00195722
          80    -3.75586    -3.76661  0.00193747
          81     -3.7569    -3.76649  0.00191726
          82    -3.75814    -3.76639  0.00189658
          83    -3.75912     -3.7663  0.00187575
          84    -3.75968    -3.76622  0.00185507
          85    -3.76105    -3.76616  0.00183424
          86     -3.7626    -3.76612  0.00181338
          87    -3.76373    -3.76609  0.00179275
          88    -3.76504    -3.76608  0.00177241
          89    -3.76623    -3.76608   0.0017525
          90    -3.76803     -3.7661  0.00173316
          91    -3.76955    -3.76614  0.00171453
          92    -3.77107    -3.76619  0.00169673
          93    -3.77229    -3.76626  0.00167975
          94    -3.77379    -3.76634  0.00166379
          95    -3.77497    -3.76643  0.00164876
          96    -3.77581    -3.76653  0.00163448
          97    -3.77706    -3.76664  0.00162123
          98    -3.77812    -3.76675  0.00160891
          99    -3.77881    -3.76687  0.00159726
         100    -3.78003    -3.76701   0.0015867
         101    -3.78104    -3.76715  0.00157706
         102    -3.78211    -3.76729  0.00156841
         103    -3.78265    -3.76744  0.00156026
         104    -3.78356     -3.7676  0.00155294
         105    -3.78378    -3.76775  0.00154578
         106    -3.78437    -3.76791  0.00153913
         107    -3.78472    -3.76806  0.00153275
         108    -3.78515    -3.76822  0.00152669
         109    -3.78549    -3.76838  0.00152089
         110    -3.78607    -3.76854  0.00151554
         111    -3.78644     -3.7687  0.00151044
         112    -3.78659    -3.76886  0.00150537
         113    -3.78669    -3.76902   0.0015003
         114     -3.7866    -3.76917  0.00149505
         115    -3.78632    -3.76932  0.00148946
         116    -3.78601    -3.76947  0.00148356
         117    -3.78613    -3.76961   0.0014777
         118    -3.78609    -3.76975  0.00147176
         119    -3.78633    -3.76989  0.00146597
         120    -3.78581    -3.77002  0.00145975
         121    -3.78574    -3.77015  0.00145346
         122    -3.78523    -3.77028  0.00144679
         123    -3.78486    -3.77039  0.00143988
         124    -3.78527    -3.77051  0.00143325
         125    -3.78539    -3.77063  0.00142672
         126    -3.78551    -3.77075  0.00142028
         127     -3.7852    -3.77086  0.00141364
         128    -3.78506    -3.77098  0.00140694
         129    -3.78463    -3.77108  0.00140001
         130    -3.78452    -3.77118  0.00139306
         131    -3.78443    -3.77129  0.00138609
         132    -3.78495    -3.77139  0.00137945
         133    -3.78459    -3.77149  0.00137264
         134    -3.78453    -3.77159  0.00136585
         135    -3.78419    -3.77168  0.00135892
         136    -3.78355    -3.77177  0.00135172
         137    -3.78413    -3.77186  0.00134487
         138    -3.78365    -3.77194  0.00133783
         139    -3.78348    -3.77203  0.00133078
         140    -3.78376    -3.77211  0.00132391
         141    -3.78374    -3.77219  0.00131709
         142    -3.78372    -3.77227  0.00131032
         143    -3.78399    -3.77235  0.00130371
         144    -3.78366    -3.77243  0.00129702
         145    -3.78348    -3.77251  0.00129031
         146    -3.78329    -3.77258  0.00128358
         147     -3.7837    -3.77266  0.00127708
         148    -3.78305    -3.77273  0.00127038
         149    -3.78331     -3.7728  0.00126383
         150    -3.78341    -3.77287  0.00125738
         151    -3.78336    -3.77294  0.00125097
         152    -3.78331    -3.77301   0.0012446
         153    -3.78327    -3.77308  0.00123827
         154    -3.78308    -3.77314  0.00123194
         155     -3.7832    -3.77321   0.0012257
         156    -3.78288    -3.77327  0.00121941
         157    -3.78303    -3.77333  0.00121323
         158    -3.78334    -3.77339   0.0012072
         159     -3.7832    -3.77345  0.00120118
         160    -3.78324    -3.77352  0.00119523
         161    -3.78389    -3.77358  0.00118954
         162    -3.78455    -3.77365  0.00118412
         163    -3.78462    -3.77372  0.00117877
         164    -3.78514    -3.77378  0.00117364
         165    -3.78537    -3.77386  0.00116862
         166    -3.78515    -3.77392  0.00116356
         167    -3.78537    -3.77399  0.00115861
         168    -3.78605    -3.77406  0.00115393
         169     -3.7861    -3.77413   0.0011493
         170    -3.78599     -3.7742  0.00114466
         171    -3.78571    -3.77427  0.00113994
         172    -3.78602    -3.77434  0.00113535
         173    -3.78599    -3.77441  0.00113079
         174    -3.78549    -3.77447  0.00112608
         175    -3.78511    -3.77453  0.00112129
         176    -3.78547    -3.77459  0.00111664
         177    -3.78534    -3.77465  0.00111198
         178    -3.78534    -3.77471  0.00110735
         179    -3.78501    -3.77477  0.00110266
         180    -3.78422    -3.77482  0.00109778
         181    -3.78386    -3.77487  0.00109285
         182     -3.7838    -3.77492  0.00108794
         183    -3.78342    -3.77497  0.00108299
         184    -3.78289    -3.77501  0.00107796
         185    -3.78236    -3.77505  0.00107286
         186    -3.78244    -3.77509  0.00106783
         187    -3.78192    -3.77513  0.00106274
         188    -3.78157    -3.77516  0.00105764
         189    -3.78093    -3.77519  0.00105248
         190     -3.7806    -3.77522  0.00104733
         191    -3.78015    -3.77525  0.00104216
         192    -3.78017    -3.77527  0.00103705
         193    -3.77962     -3.7753  0.00103192
         194    -3.77908    -3.77532  0.00102679
         195    -3.77888    -3.77533  0.00102168
         196    -3.77884    -3.77535  0.00101663
         197    -3.77883    -3.77537  0.00101162
         198    -3.77884    -3.77539  0.00100666
         199    -3.77903    -3.77541  0.00100177
         200    -3.77953    -3.77543 0.000996973
         201     -3.7793    -3.77545 0.000992199
         202    -3.77924    -3.77546 0.000987465
         203    -3.77935    -3.77548 0.000982786
         204    -3.77932     -3.7755 0.000978148
         205    -3.77915    -3.77552 0.000973538
         206    -3.77944    -3.77554 0.000968999
         207     -3.7796    -3.77556 0.000964516
         208    -3.77931    -3.77558 0.000960048
