#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         144     1.10324     1.44541   0.0320636
         145       1.104     1.44306   0.0319288
         146     1.10472     1.44074   0.0317941
         147     1.10543     1.43846   0.0316595
         148      1.1061     1.43622   0.0315251
         149     1.10675       1.434    0.031391
         150     1.10736     1.43183   0.0312572
         151     1.10794     1.42968   0.0311237
         152     1.10849     1.42757   0.0309906
         153       1.109     1.42549   0.0308579
         154     1.10949     1.42343   0.0307257
         155     1.10995     1.42141   0.0305939
         156      1.1104     1.41942   0.0304627
         157     1.11083     1.41745    0.030332
         158     1.11126     1.41552   0.0302019
         159      1.1117      1.4136   0.0300723
         160     1.11214     1.41172   0.0299433
         161     1.11261     1.40986   0.0298149
         162     1.11311     1.40803   0.0296871
         163     1.11365     1.40622   0.0295599
         164     1.11424     1.40444   0.0294332
         165     1.11487     1.40269   0.0293071
         166     1.11555     1.40096   0.0291815
         167     1.11629     1.39925   0.0290565
         168     1.11708     1.39758   0.0289321
         169     1.11791     1.39592   0.0288082
         170     1.11878     1.39429   0.0286848
         171     1.11967     1.39268    0.028562
         172     1.12058      1.3911   0.0284397
         173     1.12149     1.38954    0.028318
         174     1.12238     1.38801   0.0281968
         175     1.12324      1.3865   0.0280763
         176     1.12405       1.385   0.0279563
         177     1.12479     1.38353    0.027837
         178     1.12544     1.38208   0.0277183
         179       1.126     1.38065   0.0276004
         180     1.12643     1.37924   0.0274832
         181     1.12674     1.37785   0.0273667
         182     1.12691     1.37647    0.027251
         183     1.12693      1.3751   0.0271362
         184     1.12681     1.37375   0.0270223
         185     1.12653     1.37242   0.0269092
         186      1.1261     1.37109   0.0267971
         187     1.12552     1.36978    0.026686
         188      1.1248     1.36848   0.0265758
         189     1.12394     1.36718   0.0264667
         190     1.12296      1.3659   0.0263586
         191     1.12187     1.36462   0.0262515
         192     1.12068     1.36335   0.0261455
         193      1.1194     1.36209   0.0260406
         194     1.11806     1.36083   0.0259367
         195     1.11666     1.35958   0.0258339
         196     1.11523     1.35833   0.0257322
         197     1.11378     1.35709   0.0256315
         198     1.11232     1.35585   0.0255318
         199     1.11087     1.35462   0.0254332
         200     1.10944     1.35339   0.0253356
         201     1.10805     1.35217   0.0252389
         202      1.1067     1.35096   0.0251432
         203     1.10542     1.34975   0.0250484
         204     1.10421     1.34855   0.0249545
         205     1.10308     1.34735   0.0248615
         206     1.10204     1.34616   0.0247693
         207     1.10109     1.34497   0.0246779
         208     1.10025      1.3438   0.0245873
         209     1.09953     1.34263   0.0244975
         210     1.09892     1.34147   0.0244083
         211     1.09844     1.34032   0.0243198
         212     1.09809     1.33917   0.0242319
         213     1.09787     1.33804   0.0241446
         214      1.0978     1.33692   0.0240578
         215     1.09789     1.33581   0.0239716
         216     1.09813     1.33471   0.0238859
         217     1.09855     1.33362   0.0238006
         218     1.09914     1.33254   0.0237157
         219     1.09991     1.33148   0.0236312
         220     1.10088     1.33043    0.023547
         221     1.10204      1.3294   0.0234631
         222     1.10342     1.32838   0.0233795
         223       1.105     1.32738   0.0232961
         224     1.10679     1.32639   0.0232129
         225      1.1088     1.32543   0.0231299
         226     1.11103     1.32448    0.023047
         227     1.11346     1.32355   0.0229642
         228      1.1161     1.32264   0.0228815
         229     1.11892     1.32175   0.0227989
         230     1.12193     1.32088   0.0227163
         231      1.1251     1.32003   0.0226337
         232     1.12841     1.31921   0.0225512
         233     1.13185      1.3184   0.0224688
         234     1.13538     1.31762   0.0223864
         235       1.139     1.31686    0.022304
         236     1.14266     1.31612   0.0222217
         237     1.14634     1.31541   0.0221395
         238     1.15001     1.31471   0.0220574
         239     1.15366     1.31404   0.0219754
         240     1.15725     1.31338   0.0218935
         241     1.16076     1.31275   0.0218118
         242     1.16417     1.31214   0.0217304
         243     1.16746     1.31154   0.0216491
         244     1.17061     1.31096   0.0215681
         245     1.17361      1.3104   0.0214873
         246     1.17645     1.30986   0.0214069
         247     1.17911     1.30933   0.0213267
         248     1.18159     1.30881    0.021247
         249     1.18389     1.30831   0.0211676
         250     1.18601     1.30782   0.0210885
         251     1.18793     1.30735   0.0210099
         252     1.18967     1.30688   0.0209317
         253     1.19124     1.30642    0.020854
         254     1.19262     1.30597   0.0207767
         255     1.19384     1.30553   0.0206999
         256      1.1949      1.3051   0.0206235
         257      1.1958     1.30468   0.0205477
         258     1.19656     1.30426   0.0204723
         259     1.19718     1.30384   0.0203974
         260     1.19767     1.30344   0.0203231
         261     1.19805     1.30303   0.0202492
         262     1.19831     1.30263   0.0201759
         263     1.19848     1.30224    0.020103
         264     1.19856     1.30184   0.0200307
         265     1.19855     1.30145   0.0199589
         266     1.19846     1.30107   0.0198877
         267     1.19831     1.30068   0.0198169
         268      1.1981      1.3003   0.0197466
         269     1.19783     1.29992   0.0196769
         270     1.19751     1.29954   0.0196077
         271     1.19714     1.29916    0.019539
         272     1.19674     1.29878   0.0194708
         273      1.1963     1.29841   0.0194031
         274     1.19582     1.29803   0.0193359
         275     1.19532     1.29766   0.0192692
         276     1.19478     1.29729    0.019203
         277     1.19422     1.29692   0.0191372
         278     1.19363     1.29654    0.019072
         279     1.19301     1.29617   0.0190073
         280     1.19237      1.2958    0.018943
         281     1.19169     1.29543   0.0188792
         282     1.19099     1.29506   0.0188159
         283     1.19025     1.29469    0.018753
         284     1.18948     1.29432   0.0186907
         285     1.18867     1.29395   0.0186288
         286     1.18781     1.29358   0.0185673
         287     1.18692     1.29321   0.0185063
         288     1.18597     1.29283   0.0184458
         289     1.18497     1.29246   0.0183858
         290     1.18391     1.29209   0.0183262
         291      1.1828     1.29171   0.0182671
         292     1.18161     1.29133   0.0182084
         293     1.18037     1.29096   0.0181502
         294     1.17905     1.29058   0.0180924
         295     1.17765     1.29019   0.0180352
         296     1.17618     1.28981   0.0179783
         297     1.17464     1.28942    0.017922
         298     1.17301     1.28903   0.0178661
         299      1.1713     1.28864   0.0178107
         300     1.16952     1.28824   0.0177557
         301     1.16765     1.28784   0.0177013
         302     1.16572     1.28743   0.0176473
         303     1.16371     1.28702   0.0175938
         304     1.16164     1.28661   0.0175407
         305      1.1595      1.2862   0.0174882
         306     1.15731     1.28577   0.0174361
         307     1.15507     1.28535   0.0173845
         308     1.15278     1.28492   0.0173334
         309     1.15046     1.28448   0.0172827
         310      1.1481     1.28404   0.0172326
         311     1.14572      1.2836   0.0171829
         312     1.14333     1.28315   0.0171337
         313     1.14092     1.28269    0.017085
         314      1.1385     1.28224   0.0170368
         315     1.13608     1.28177    0.016989
         316     1.13365      1.2813   0.0169417
         317     1.13123     1.28083   0.0168949
         318     1.12881     1.28035   0.0168485
         319     1.12638     1.27987   0.0168026
         320     1.12396     1.27938   0.0167572
         321     1.12154     1.27889   0.0167122
         322     1.11912     1.27839   0.0166676
         323     1.11669     1.27789   0.0166235
         324     1.11425     1.27739   0.0165799
         325     1.11181     1.27688   0.0165367
         326     1.10935     1.27636    0.016494
         327     1.10688     1.27585   0.0164517
         328      1.1044     1.27532   0.0164098
         329      1.1019      1.2748   0.0163684
         330     1.09939     1.27426   0.0163274
         331     1.09688     1.27373   0.0162869
         332     1.09436     1.27319   0.0162468
         333     1.09183     1.27264   0.0162071
         334     1.08932     1.27209   0.0161679
         335     1.08682     1.27154   0.0161291
         336     1.08435     1.27098   0.0160907
         337     1.08191     1.27042   0.0160527
         338     1.07953     1.26986   0.0160152
         339     1.07721     1.26929    0.015978
         340     1.07497     1.26872   0.0159412
         341     1.07282     1.26814   0.0159048
         342     1.07078     1.26757   0.0158688
         343     1.06886     1.26699   0.0158331
         344     1.06707     1.26641   0.0157977
         345     1.06543     1.26582   0.0157627
         346     1.06396     1.26524   0.0157279
         347     1.06265     1.26466   0.0156934
         348     1.06153     1.26407   0.0156592
         349      1.0606     1.26349   0.0156252
         350     1.05987     1.26291   0.0155914
         351     1.05933     1.26233   0.0155577
         352     1.05901     1.26175   0.0155242
         353     1.05889     1.26118   0.0154909
         354     1.05897     1.26061   0.0154577
         355     1.05927     1.26004   0.0154245
         356     1.05977     1.25948   0.0153914
         357     1.06047     1.25892   0.0153584
         358     1.06137     1.25837   0.0153254
         359     1.06246     1.25782   0.0152925
         360     1.06373     1.25728   0.0152595
         361     1.06516     1.25675   0.0152265
         362     1.06676     1.25622   0.0151935
         363     1.06851     1.25571   0.0151604
         364      1.0704      1.2552   0.0151273
         365     1.07241      1.2547   0.0150941
         366     1.07453     1.25421   0.0150609
         367     1.07675     1.25372   0.0150277
         368     1.07905     1.25325   0.0149943
         369     1.08143     1.25278   0.0149609
         370     1.08386     1.25232   0.0149274
         371     1.08633     1.25188   0.0148939
         372     1.08883     1.25144   0.0148603
         373     1.09135     1.25101   0.0148267
         374     1.09387     1.25059    0.014793
         375     1.09638     1.25018   0.0147592
         376     1.09887     1.24978   0.0147255
         377     1.10134     1.24938   0.0146917
         378     1.10376       1.249   0.0146579
         379     1.10614     1.24862    0.014624
         380     1.10846     1.24825   0.0145902
         381     1.11073     1.24789   0.0145564
         382     1.11292     1.24754   0.0145225
         383     1.11504     1.24719   0.0144888
         384     1.11708     1.24685    0.014455
         385     1.11903     1.24652   0.0144212
         386     1.12089     1.24619   0.0143876
         387     1.12265     1.24588   0.0143539
         388     1.12432     1.24556   0.0143203
         389     1.12588     1.24525   0.0142868
         390     1.12733     1.24495   0.0142534
         391     1.12866     1.24465   0.0142201
         392     1.12987     1.24436   0.0141868
         393     1.13095     1.24407   0.0141536
         394      1.1319     1.24379   0.0141206
         395      1.1327     1.24351   0.0140876
         396     1.13335     1.24323   0.0140548
         397     1.13385     1.24295   0.0140221
         398     1.13419     1.24268   0.0139895
         399     1.13435     1.24241   0.0139571
         400     1.13434     1.24214   0.0139248
         401     1.13415     1.24187   0.0138927
         402     1.13378      1.2416   0.0138607
         403     1.13322     1.24133    0.013829
         404     1.13248     1.24106   0.0137973
         405     1.13156     1.24079   0.0137659
         406     1.13047     1.24052   0.0137347
         407      1.1292     1.24025   0.0137037
         408     1.12779     1.23997   0.0136729
         409     1.12623     1.23969   0.0136423
         410     1.12455     1.23941   0.0136119
         411     1.12277     1.23913   0.0135817
         412      1.1209     1.23884   0.0135518
         413     1.11899     1.23855   0.0135221
         414     1.11705     1.23826   0.0134926
         415     1.11512     1.23796   0.0134634
         416     1.11322     1.23766   0.0134343
         417     1.11138     1.23736   0.0134055
         418     1.10962     1.23705   0.0133769
         419     1.10797     1.23674   0.0133486
         420     1.10645     1.23643   0.0133204
         421     1.10508     1.23612   0.0132924
         422     1.10387     1.23581   0.0132646
         423     1.10281     1.23549    0.013237
         424     1.10192     1.23518   0.0132095
         425     1.10119     1.23486   0.0131822
         426      1.1006     1.23455    0.013155
         427     1.10015     1.23423   0.0131279
         428     1.09982     1.23392    0.013101
         429     1.09958     1.23361   0.0130742
         430     1.09941     1.23329   0.0130475
         431     1.09929     1.23298    0.013021
         432      1.0992     1.23267   0.0129945
         433     1.09909     1.23237   0.0129682
         434     1.09897     1.23206   0.0129419
         435      1.0988     1.23175   0.0129158
         436     1.09857     1.23145   0.0128898
         437     1.09826     1.23114   0.0128639
         438     1.09786     1.23084   0.0128381
         439     1.09736     1.23053   0.0128125
         440     1.09676     1.23023    0.012787
         441     1.09605     1.22993   0.0127616
         442     1.09525     1.22962   0.0127364
         443     1.09434     1.22932   0.0127113
         444     1.09334     1.22901   0.0126863
         445     1.09225      1.2287   0.0126615
         446     1.09108     1.22839   0.0126369
         447     1.08986     1.22808   0.0126124
         448     1.08857     1.22777   0.0125881
         449     1.08725     1.22746    0.012564
         450     1.08589     1.22714     0.01254
         451     1.08452     1.22683   0.0125162
         452     1.08314     1.22651   0.0124925
         453     1.08177     1.22619    0.012469
         454     1.08041     1.22587   0.0124457
         455     1.07907     1.22555   0.0124225
         456     1.07775     1.22522   0.0123995
         457     1.07647      1.2249   0.0123767
         458     1.07523     1.22457    0.012354
         459     1.07403     1.22424   0.0123314
         460     1.07287     1.22391    0.012309
         461     1.07176     1.22358   0.0122867
         462      1.0707     1.22325   0.0122646
         463     1.06968     1.22292   0.0122426
         464     1.06873     1.22259   0.0122207
         465     1.06782     1.22226   0.0121989
         466     1.06698     1.22192   0.0121773
         467      1.0662     1.22159   0.0121558
         468     1.06549     1.22126   0.0121344
         469     1.06485     1.22092   0.0121131
         470     1.06429     1.22059   0.0120919
         471     1.06381     1.22026   0.0120708
         472     1.06343     1.21992   0.0120498
         473     1.06314     1.21959   0.0120289
         474     1.06296     1.21926   0.0120081
         475     1.06288     1.21893   0.0119873
         476     1.06292      1.2186   0.0119666
         477     1.06306     1.21828   0.0119459
         478     1.06331     1.21795   0.0119254
         479     1.06366     1.21763   0.0119048
         480     1.06412     1.21731   0.0118843
         481     1.06466     1.21699   0.0118638
         482     1.06527     1.21668   0.0118434
         483     1.06595     1.21637    0.011823
         484     1.06668     1.21606   0.0118026
         485     1.06743     1.21575   0.0117822
         486     1.06819     1.21545   0.0117619
         487     1.06895     1.21515   0.0117416
         488     1.06967     1.21485   0.0117213
         489     1.07035     1.21455   0.0117011
         490     1.07097     1.21426   0.0116809
         491     1.07151     1.21397   0.0116607
         492     1.07194     1.21368   0.0116406
         493     1.07227      1.2134   0.0116205
         494     1.07248     1.21311   0.0116005
         495     1.07254     1.21283   0.0115805
         496     1.07247     1.21254   0.0115606
         497     1.07224     1.21226   0.0115408
         498     1.07185     1.21198   0.0115211
         499     1.07129      1.2117   0.0115014
         500     1.07057     1.21141   0.0114819
         501     1.06968     1.21113   0.0114625
         502     1.06862     1.21085   0.0114431
         503     1.06738     1.21056   0.0114239
         504     1.06598     1.21028   0.0114049
         505     1.06441     1.20999    0.011386
         506     1.06269      1.2097   0.0113672
         507     1.06081      1.2094   0.0113485
         508     1.05879     1.20911   0.0113301
         509     1.05663     1.20881   0.0113118
         510     1.05435      1.2085   0.0112936
         511     1.05196      1.2082   0.0112757
         512     1.04947     1.20789   0.0112579
         513     1.04691     1.20757   0.0112404
         514     1.04428     1.20726    0.011223
         515     1.04161     1.20693   0.0112058
         516     1.03891     1.20661   0.0111888
         517      1.0362     1.20628    0.011172
         518      1.0335     1.20594   0.0111554
         519     1.03083     1.20561    0.011139
         520     1.02818     1.20527   0.0111228
         521     1.02559     1.20492   0.0111068
         522     1.02305     1.20457    0.011091
         523     1.02059     1.20422   0.0110754
         524      1.0182     1.20387     0.01106
         525     1.01588     1.20351   0.0110447
         526     1.01365     1.20315   0.0110296
         527     1.01149     1.20278   0.0110146
         528     1.00941     1.20242   0.0109999
         529      1.0074     1.20205   0.0109853
         530     1.00546     1.20168   0.0109708
         531     1.00359      1.2013   0.0109565
         532     1.00179     1.20093   0.0109423
         533     1.00004     1.20055   0.0109282
         534    0.998365     1.20017   0.0109143
         535    0.996749     1.19979   0.0109006
         536    0.995199     1.19941   0.0108869
         537    0.993719     1.19903   0.0108734
         538    0.992315     1.19864   0.0108599
         539    0.990994     1.19826   0.0108466
         540    0.989766     1.19787   0.0108334
         541    0.988642     1.19749   0.0108203
         542    0.987633      1.1971   0.0108072
         543     0.98675     1.19671   0.0107943
         544    0.986004     1.19632   0.0107814
         545    0.985408     1.19594   0.0107686
         546    0.984974     1.19555   0.0107558
         547    0.984715     1.19517    0.010743
         548    0.984636     1.19478   0.0107303
         549    0.984748      1.1944   0.0107175
         550    0.985058     1.19402   0.0107048
         551    0.985571     1.19364   0.0106921
         552     0.98629     1.19326   0.0106793
         553    0.987217     1.19289   0.0106665
         554    0.988352     1.19252   0.0106536
         555    0.989693     1.19216   0.0106407
         556    0.991238      1.1918   0.0106277
         557    0.992981     1.19144   0.0106146
         558    0.994916     1.19109   0.0106014
         559    0.997038     1.19074   0.0105881
         560    0.999338      1.1904   0.0105747
         561     1.00181     1.19006   0.0105612
         562     1.00443     1.18973   0.0105476
         563      1.0072     1.18941   0.0105338
         564     1.01011     1.18909     0.01052
         565     1.01315     1.18878   0.0105059
         566     1.01629     1.18847   0.0104918
         567     1.01954     1.18818   0.0104775
         568     1.02288     1.18788   0.0104631
         569      1.0263      1.1876   0.0104486
         570     1.02978     1.18732   0.0104339
         571     1.03333     1.18705   0.0104191
         572     1.03692     1.18679   0.0104042
         573     1.04055     1.18654   0.0103892
         574     1.04421     1.18629   0.0103741
         575     1.04789     1.18605   0.0103588
         576     1.05159     1.18581   0.0103435
         577      1.0553     1.18559    0.010328
         578     1.05901     1.18537   0.0103125
         579     1.06273     1.18516   0.0102968
         580     1.06645     1.18495   0.0102811
         581     1.07017     1.18475   0.0102653
         582     1.07389     1.18456   0.0102494
         583     1.07761     1.18438   0.0102335
         584     1.08132      1.1842   0.0102175
         585     1.08504     1.18403   0.0102014
         586     1.08876     1.18387   0.0101853
         587     1.09248     1.18372   0.0101692
         588     1.09621     1.18357    0.010153
         589     1.09993     1.18343   0.0101367
         590     1.10366     1.18329   0.0101204
         591     1.10738     1.18316   0.0101041
         592      1.1111     1.18304   0.0100878
         593      1.1148     1.18293   0.0100714
         594     1.11849     1.18282   0.0100551
         595     1.12215     1.18271   0.0100387
         596     1.12578     1.18262   0.0100223
         597     1.12936     1.18253   0.0100059
         598     1.13288     1.18245  0.00998951
         599     1.13632     1.18237  0.00997313
         600     1.13969      1.1823  0.00995676
         601     1.14295     1.18223  0.00994041
         602     1.14611     1.18217  0.00992408
         603     1.14914     1.18212  0.00990777
         604     1.15205     1.18207  0.00989149
         605     1.15481     1.18202  0.00987525
         606     1.15742     1.18198  0.00985903
         607     1.15987     1.18195  0.00984286
         608     1.16216     1.18191  0.00982672
         609     1.16428     1.18189  0.00981063
         610     1.16622     1.18186  0.00979458
         611       1.168     1.18184  0.00977858
         612      1.1696     1.18182  0.00976262
         613     1.17104      1.1818  0.00974671
         614     1.17232     1.18178  0.00973085
         615     1.17345     1.18177  0.00971503
         616     1.17443     1.18176  0.00969927
         617     1.17528     1.18175  0.00968356
         618       1.176     1.18174  0.00966789
         619      1.1766     1.18173  0.00965228
         620     1.17711     1.18172  0.00963671
         621     1.17752     1.18172  0.00962119
         622     1.17786     1.18171  0.00960573
         623     1.17813      1.1817  0.00959031
         624     1.17835      1.1817  0.00957494
         625     1.17852     1.18169  0.00955963
         626     1.17865     1.18169  0.00954436
         627     1.17876     1.18168  0.00952913
         628     1.17884     1.18168  0.00951396
         629      1.1789     1.18168  0.00949884
         630     1.17895     1.18167  0.00948376
         631     1.17899     1.18167  0.00946873
         632     1.17901     1.18166  0.00945375
         633     1.17902     1.18166  0.00943882
         634     1.17902     1.18165  0.00942393
         635     1.17901     1.18165  0.00940909
         636     1.17897     1.18165   0.0093943
         637     1.17892     1.18164  0.00937955
         638     1.17883     1.18164  0.00936485
         639     1.17872     1.18163   0.0093502
         640     1.17858     1.18163  0.00933559
         641      1.1784     1.18162  0.00932102
         642     1.17818     1.18162  0.00930651
         643     1.17792     1.18161  0.00929204
         644     1.17763     1.18161  0.00927761
         645      1.1773      1.1816  0.00926323
         646     1.17694     1.18159  0.00924889
         647     1.17655     1.18158   0.0092346
         648     1.17613     1.18158  0.00922035
         649     1.17569     1.18157  0.00920615
         650     1.17524     1.18156  0.00919199
         651     1.17479     1.18155  0.00917788
         652     1.17433     1.18154  0.00916381
         653     1.17389     1.18152  0.00914978
         654     1.17346     1.18151   0.0091358
         655     1.17306      1.1815  0.00912186
         656     1.17268     1.18148  0.00910797
         657     1.17234     1.18147  0.00909411
         658     1.17204     1.18146   0.0090803
         659     1.17177     1.18144  0.00906654
         660     1.17153     1.18143  0.00905281
         661     1.17134     1.18141  0.00903913
         662     1.17118      1.1814  0.00902549
         663     1.17104     1.18138  0.00901189
         664     1.17093     1.18136  0.00899833
         665     1.17084     1.18135  0.00898481
         666     1.17075     1.18133  0.00897134
         667     1.17066     1.18132   0.0089579
         668     1.17057      1.1813   0.0089445
         669     1.17046     1.18128  0.00893115
         670     1.17033     1.18127  0.00891783
         671     1.17017     1.18125  0.00890456
         672     1.16999     1.18123  0.00889132
         673     1.16976     1.18122  0.00887813
         674     1.16951      1.1812  0.00886497
         675     1.16921     1.18118  0.00885186
         676     1.16888     1.18116  0.00883878
         677     1.16852     1.18115  0.00882575
         678     1.16813     1.18113  0.00881275
         679     1.16772     1.18111  0.00879979
         680     1.16728     1.18109  0.00878688
         681     1.16684     1.18107    0.008774
         682      1.1664     1.18104  0.00876116
         683     1.16597     1.18102  0.00874836
         684     1.16556       1.181   0.0087356
         685     1.16517     1.18098  0.00872288
         686     1.16483     1.18095  0.00871019
         687     1.16454     1.18093  0.00869755
         688      1.1643      1.1809  0.00868494
         689     1.16414     1.18088  0.00867237
         690     1.16405     1.18086  0.00865983
         691     1.16405     1.18083  0.00864733
         692     1.16415     1.18081  0.00863487
         693     1.16435     1.18078  0.00862244
         694     1.16465     1.18076  0.00861005
         695     1.16506     1.18074  0.00859769
         696     1.16558     1.18072  0.00858537
         697     1.16621      1.1807  0.00857307
         698     1.16696     1.18068  0.00856082
         699     1.16781     1.18066  0.00854859
         700     1.16878     1.18064  0.00853639
         701     1.16984     1.18062  0.00852423
         702     1.17099     1.18061   0.0085121
         703     1.17223      1.1806      0.0085
         704     1.17354     1.18059  0.00848793
         705     1.17491     1.18058  0.00847589
         706     1.17633     1.18058  0.00846389
         707     1.17779     1.18057  0.00845192
         708     1.17927     1.18057  0.00843998
         709     1.18076     1.18057  0.00842808
         710     1.18224     1.18057  0.00841621
         711     1.18369     1.18058  0.00840437
         712     1.18511     1.18058  0.00839257
         713     1.18647     1.18059   0.0083808
         714     1.18776      1.1806  0.00836907
         715     1.18897     1.18061  0.00835737
         716     1.19007     1.18063  0.00834571
         717     1.19107     1.18064  0.00833409
         718     1.19193     1.18066  0.00832249
         719     1.19267     1.18067  0.00831094
         720     1.19325     1.18069  0.00829941
         721     1.19368     1.18071  0.00828792
         722     1.19396     1.18073  0.00827646
         723     1.19407     1.18075  0.00826503
         724     1.19401     1.18076  0.00825364
         725     1.19378     1.18078  0.00824227
         726     1.19339      1.1808  0.00823094
         727     1.19283     1.18082  0.00821963
         728     1.19211     1.18083  0.00820836
         729     1.19123     1.18085  0.00819711
         730      1.1902     1.18086  0.00818589
         731     1.18904     1.18087   0.0081747
         732     1.18774     1.18088  0.00816354
         733     1.18632     1.18089   0.0081524
         734      1.1848     1.18089   0.0081413
         735     1.18318     1.18089  0.00813022
         736     1.18148      1.1809  0.00811918
         737     1.17971     1.18089  0.00810816
