#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.3232      1.3232           0
           2     1.37598     1.34959   0.0186605
           3     1.36022     1.35314   0.0127723
           4     1.32906     1.34712   0.0109054
           5     1.34664     1.34702  0.00872472
           6     1.34747      1.3471  0.00727092
           7      1.3579     1.34864  0.00639399
           8     1.31022     1.34384  0.00717552
           9     1.28929     1.33778  0.00856375
          10      1.3657     1.34057  0.00815001
          11     1.32651     1.33929  0.00750863
          12     1.35815     1.34086  0.00704541
          13     1.36109     1.34242  0.00667308
          14     1.32319     1.34105  0.00633618
          15     1.35979      1.3423  0.00603571
          16     1.32132     1.34098  0.00579915
          17      1.3948     1.34415  0.00626262
          18     1.35364     1.34468  0.00593687
          19     1.36184     1.34558  0.00569274
          20      1.3292     1.34476   0.0054667
