#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.201126    0.201126           0
           2    0.200267    0.200697 0.000303433
           3    0.200717    0.200703 0.000202364
           4    0.200045    0.200539 0.000208222
           5    0.201774    0.200786 0.000276723
           6    0.193322    0.199542  0.00115876
           7    0.191735    0.198427  0.00143268
           8    0.195053    0.198005  0.00131419
           9    0.195223    0.197696  0.00120396
          10    0.192786    0.197205  0.00117946
          11    0.196364    0.197128  0.00107471
          12    0.202337    0.197562  0.00106922
          13    0.199133    0.197683 0.000993775
          14    0.190477    0.197168  0.00104766
          15    0.199386    0.197316 0.000988192
          16    0.200629    0.197523  0.00094787
          17    0.199163     0.19762 0.000897009
          18    0.199088    0.197701 0.000850874
          19    0.198271    0.197731 0.000806619
          20    0.199637    0.197827 0.000771897
