0.1	0.989883	0.667312	-0.265981	0.09
0.0995	1.00237	0.671219	-0.194626	0.1
0.099	1.02008	0.684315	-0.192183	0.08
0.0985	1.03844	0.696053	-0.0830839	0.09
0.098	1.05364	0.689551	-0.0880453	0.06
0.0975	1.05146	0.668652	-0.10251	0.07
0.097	1.03065	0.659188	-0.166703	0.09
0.0965	1.00346	0.64943	-0.236156	0.07
0.096	1.023	0.636075	-0.205922	0.1
0.0955	1.01993	0.621285	-0.212676	0.04
0.095	1.00939	0.625905	-0.279953	0.08
0.0945	1.04062	0.621539	-0.213822	0.1
0.094	1.0122	0.596746	-0.248091	0.09
0.0935	0.998198	0.572084	-0.256778	0.08
0.093	0.983064	0.567296	-0.317786	0.08
0.0925	0.956558	0.549881	-0.287448	0.1
0.092	0.926024	0.572838	-0.381739	0.1
0.0915	0.927266	0.585636	-0.38331	0.09
0.091	0.919808	0.583709	-0.368391	0.07
0.0905	0.945625	0.575808	-0.364642	0.1
0.09	0.949987	0.569146	-0.351875	0.1
0.0895	0.98247	0.582863	-0.297191	0.1
0.089	0.990734	0.582812	-0.312613	0.09
0.0885	0.984861	0.573589	-0.304518	0.09
0.088	1.00199	0.557423	-0.24561	0.07
0.0875	0.996661	0.563357	-0.281672	0.08
0.087	0.99839	0.529755	-0.243954	0.1
0.0865	0.9835	0.540871	-0.279205	0.09
0.086	0.974865	0.561937	-0.31566	0.09
0.0855	0.95886	0.569559	-0.326876	0.09
0.085	0.938556	0.570086	-0.38147	0.09
0.0845	0.93766	0.598535	-0.393361	0.08
0.084	0.94848	0.553359	-0.306797	0.09
0.0835	0.942299	0.531656	-0.298006	0.1
0.083	0.959845	0.544852	-0.30713	0.09
0.0825	0.966651	0.535347	-0.26367	0.1
0.082	0.967148	0.544153	-0.309644	0.09
0.0815	0.968537	0.519065	-0.250237	0.09
0.081	0.971004	0.539084	-0.277904	0.09
0.0805	0.960153	0.524169	-0.251232	0.07
0.08	0.989851	0.539445	-0.252499	0.09
0.0795	1.02939	0.568145	-0.185033	0.08
0.079	1.03952	0.576881	-0.192571	0.1
0.0785	1.04591	0.601451	-0.209636	0.08
0.078	1.06744	0.583731	-0.103545	0.1
0.0775	1.03944	0.624908	-0.209087	0.1
0.077	1.0203	0.622001	-0.264062	0.09
0.0765	1.03911	0.599679	-0.215978	0.08
0.076	1.01857	0.605008	-0.275593	0.06
0.0755	1.03828	0.606342	-0.202853	0.09
0.075	1.06928	0.591976	-0.161305	0.1
0.0745	1.05664	0.588267	-0.146834	0.08
0.074	1.0467	0.595529	-0.197638	0.1
0.0735	1.02794	0.583978	-0.233755	0.1
0.073	1.03087	0.576386	-0.195299	0.08
0.0725	1.03099	0.553013	-0.210951	0.07
0.072	1.04835	0.579195	-0.186588	0.08
0.0715	1.05767	0.603538	-0.194585	0.06
0.071	1.04117	0.61067	-0.236799	0.08
0.0705	1.08895	0.612145	-0.106621	0.1
0.07	1.07191	0.593578	-0.155043	0.08
0.0695	1.06166	0.573075	-0.19299	0.06
0.069	1.08602	0.565497	-0.10202	0.1
0.0685	1.08534	0.566015	-0.112559	0.07
0.068	1.06857	0.581815	-0.157548	0.08
0.0675	1.06211	0.61074	-0.194368	0.05
0.067	1.05306	0.586713	-0.154014	0.09
0.0665	1.03485	0.605409	-0.203041	0.07
0.066	1.02303	0.618572	-0.214468	0.05
