#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.111384    0.111384           0
           2    0.083876     0.09763  0.00972555
           3    0.093804   0.0963547  0.00656678
           4    0.080516    0.092395  0.00600131
           5    0.095332   0.0929824  0.00482971
           6     0.08406   0.0914953  0.00424753
           7    0.106364   0.0936194   0.0041379
           8    0.059168    0.089313   0.0054163
           9    0.082204   0.0885231  0.00487175
          10    0.059588   0.0856296  0.00517297
          11    0.082244   0.0853218  0.00471185
          12    0.090168   0.0857257  0.00433647
          13    0.075164   0.0849132  0.00407829
          14    0.086932   0.0850574  0.00378953
          15    0.079372   0.0846784   0.0035558
          16      0.0691   0.0837048   0.0034643
          17    0.084744   0.0837659  0.00326106
          18    0.094316    0.084352  0.00313212
          19    0.073228   0.0837665  0.00302149
          20    0.101736    0.084665  0.00300103
