#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      84.571      84.571           0
           2     81.7707     83.1708     0.99004
           3     75.6947     80.6788     2.13912
           4     81.5515      80.897     1.61543
           5     74.8534     79.6883     1.68492
           6     81.9538     80.0659     1.44579
           7     74.8288     79.3177     1.41969
           8     80.4626     79.4608     1.24942
           9     85.5875     80.1415     1.28271
          10     80.1463      80.142     1.15444
          11      79.069     80.0445      1.0536
          12     78.1882     79.8898    0.977091
          13     87.1863     80.4511     1.05084
          14     79.0112     80.3482    0.980803
          15     76.3302     80.0803    0.951291
          16     81.6855     80.1807     0.89711
          17     79.9607     80.1677    0.844432
          18     87.7358     80.5882    0.896099
          19     67.5036     79.8995     1.08166
          20     81.4846     79.9788     1.03048
