#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.980144   -0.980144           0
           2    -0.97608   -0.978112  0.00143684
           3   -0.971096   -0.975773  0.00213631
           4   -0.975728   -0.975762  0.00160226
           5   -0.970976   -0.974805  0.00154143
           6   -0.977352   -0.975229  0.00134172
           7   -0.968928   -0.974329  0.00142027
           8   -0.975264   -0.974446  0.00124754
           9   -0.981568   -0.975237  0.00133654
          10   -0.975856   -0.975299  0.00120432
          11   -0.973728   -0.975156  0.00110327
          12   -0.973072   -0.974983  0.00102491
          13     -0.9824   -0.975553  0.00109342
          14   -0.975032   -0.975516  0.00101595
          15   -0.971224    -0.97523 0.000987691
          16   -0.977016   -0.975342 0.000932247
          17   -0.975192   -0.975333 0.000877451
          18   -0.984704   -0.975853  0.00097095
          19   -0.962144   -0.975132   0.0011573
          20   -0.976848   -0.975218  0.00110261
