#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.294652    0.294652           0
           2    0.320511    0.307581  0.00914249
           3     0.33224    0.315801  0.00906581
           4    0.310974    0.314594   0.0068792
           5    0.360929    0.323861  0.00994937
           6    0.302278    0.320264  0.00891777
           7    0.375226    0.328116   0.0105485
           8     0.34841    0.330652  0.00953008
           9    0.258964    0.322687   0.0113207
          10    0.318869    0.322305   0.0101951
          11    0.324548    0.322509  0.00927028
          12    0.333697    0.323442   0.0085445
          13    0.248832    0.317702  0.00962357
          14     0.31116    0.317235  0.00894751
          15    0.355732    0.319802  0.00871132
          16    0.295883    0.318307  0.00829414
          17    0.310705    0.317859  0.00781829
          18    0.221238    0.312492  0.00904077
          19    0.422505    0.318282   0.0102528
          20    0.290877    0.316912  0.00983128
