#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.10785     1.10898 0.000733633
         169     1.11751     1.10903 0.000731025
         170      1.1204      1.1091 0.000729778
         171     1.10892      1.1091 0.000725511
         172      1.1202     1.10916 0.000724158
         173     1.12129     1.10923  0.00072336
         174     1.11686     1.10928 0.000720529
         175     1.09652      1.1092  0.00072009
         176     1.09918     1.10915 0.000718245
         177      1.1328     1.10928 0.000726515
         178     1.11088     1.10929 0.000722489
         179     1.11102      1.1093 0.000718517
         180     1.11935     1.10935 0.000716693
         181     1.10271     1.10932 0.000713674
         182     1.11594     1.10935  0.00071068
         183     1.10907     1.10935 0.000706798
         184     1.11039     1.10936 0.000702979
         185     1.10033     1.10931  0.00070087
         186     1.09709     1.10924 0.000700175
         187     1.10708     1.10923 0.000696527
         188     1.10651     1.10922 0.000692972
         189     1.11645     1.10926 0.000690362
         190     1.09392     1.10918  0.00069143
         191     1.11708     1.10922 0.000689049
         192     1.09535     1.10914 0.000689235
         193     1.10488     1.10912 0.000686018
         194     1.11893     1.10917 0.000684341
         195     1.10328     1.10914 0.000681498
         196     1.09579     1.10907 0.000681417
         197     1.08436     1.10895 0.000689406
         198     1.11585     1.10898 0.000686805
         199     1.12419     1.10906 0.000687589
         200     1.09392     1.10898 0.000688307
         201     1.11887     1.10903 0.000686637
         202     1.10062     1.10899 0.000684501
         203     1.10069     1.10895 0.000682349
         204     1.09948      1.1089 0.000680581
         205     1.09983     1.10886 0.000678699
         206     1.11094     1.10887 0.000675479
         207     1.12058     1.10893 0.000674582
         208     1.11206     1.10894 0.000671506
         209      1.1019     1.10891 0.000669137
         210     1.12045     1.10896 0.000668203
         211     1.11237     1.10898 0.000665231
         212     1.11192     1.10899 0.000662237
         213      1.1124     1.10901 0.000659322
         214     1.09944     1.10896 0.000657756
         215     1.09948     1.10892 0.000656175
         216      1.0963     1.10886 0.000655734
         217     1.11226     1.10888 0.000652899
         218     1.10256     1.10885 0.000650547
         219     1.12425     1.10892 0.000651364
         220      1.0944     1.10885 0.000651739
         221     1.10211     1.10882 0.000649505
         222     1.10247     1.10879 0.000647208
         223     1.11367     1.10882 0.000644674
         224     1.10558      1.1088 0.000641958
         225     1.11748     1.10884 0.000640262
         226      1.1071     1.10883 0.000637475
         227     1.10282     1.10881 0.000635218
         228     1.09263     1.10873 0.000636382
         229     1.11153     1.10875  0.00063372
         230     1.11581     1.10878 0.000631708
         231     1.11412      1.1088 0.000629396
         232     1.10512     1.10879 0.000626883
         233     1.10963     1.10879 0.000624203
         234     1.10799     1.10879 0.000621545
         235      1.1026     1.10876 0.000619457
         236     1.11118     1.10877 0.000616917
