#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         145    -3.77671    -3.77687 7.16229e-05
         146    -3.77635    -3.77687 7.12214e-05
         147    -3.77579    -3.77686 7.11153e-05
         148    -3.77711    -3.77686 7.06546e-05
         149    -3.77645    -3.77686 7.02352e-05
         150    -3.77681    -3.77686 6.97678e-05
         151    -3.77942    -3.77688 7.13413e-05
         152    -3.77798    -3.77688 7.12398e-05
         153    -3.77668    -3.77688 7.07869e-05
         154    -3.77897     -3.7769 7.16162e-05
         155    -3.77814     -3.7769 7.15985e-05
         156     -3.7786    -3.77692 7.19579e-05
         157    -3.77701    -3.77692 7.15019e-05
         158    -3.77647    -3.77691 7.11053e-05
         159    -3.77777    -3.77692 7.08622e-05
         160    -3.77642    -3.77692 7.04878e-05
         161    -3.77684    -3.77692 7.00516e-05
         162    -3.77675    -3.77691 6.96262e-05
         163    -3.77829    -3.77692  6.9706e-05
         164    -3.77745    -3.77693 6.93559e-05
         165    -3.77794    -3.77693 6.92092e-05
         166    -3.77661    -3.77693   6.882e-05
         167     -3.7765    -3.77693  6.8456e-05
         168    -3.77772    -3.77693  6.8211e-05
         169    -3.77682    -3.77693 6.78108e-05
         170    -3.77659    -3.77693  6.7441e-05
         171    -3.77732    -3.77693 6.70857e-05
         172    -3.77763    -3.77694  6.6819e-05
         173    -3.77837    -3.77694 6.69418e-05
         174    -3.77692    -3.77694 6.65572e-05
         175    -3.77749    -3.77695 6.62504e-05
         176    -3.77575    -3.77694 6.62248e-05
         177    -3.77736    -3.77694 6.58922e-05
         178    -3.77713    -3.77694 6.55307e-05
         179     -3.7785    -3.77695 6.57418e-05
         180    -3.77617    -3.77695 6.55206e-05
         181    -3.77723    -3.77695 6.51776e-05
         182    -3.77602    -3.77694 6.50193e-05
         183    -3.77738    -3.77695 6.47081e-05
         184     -3.7781    -3.77695 6.46594e-05
         185    -3.77662    -3.77695 6.43355e-05
         186    -3.77827    -3.77696 6.43762e-05
         187    -3.77681    -3.77696 6.40366e-05
         188    -3.77657    -3.77696 6.37297e-05
         189    -3.77682    -3.77696 6.33967e-05
         190    -3.77844    -3.77696 6.35433e-05
         191    -3.77706    -3.77696 6.32125e-05
         192    -3.77723    -3.77696 6.28979e-05
         193    -3.77759    -3.77697 6.26555e-05
         194    -3.77858    -3.77698 6.28795e-05
         195    -3.77587    -3.77697 6.28141e-05
         196    -3.77396    -3.77696 6.43427e-05
         197    -3.77652    -3.77695 6.40542e-05
         198    -3.77611    -3.77695 6.38708e-05
         199    -3.77698    -3.77695   6.355e-05
         200    -3.77744    -3.77695 6.32788e-05
         201    -3.77552    -3.77694 6.33629e-05
         202    -3.77808    -3.77695 6.32987e-05
         203    -3.77668    -3.77695  6.3001e-05
         204    -3.77542    -3.77694 6.31371e-05
         205    -3.77632    -3.77694 6.29015e-05
         206    -3.77772    -3.77694 6.27096e-05
         207    -3.77714    -3.77694 6.24139e-05
         208    -3.77665    -3.77694 6.21301e-05
         209    -3.77739    -3.77694 6.18707e-05
         210    -3.77887    -3.77695 6.22535e-05
         211    -3.77673    -3.77695 6.19671e-05
         212    -3.77846    -3.77696 6.20832e-05
         213    -3.77737    -3.77696 6.18219e-05
         214    -3.77578    -3.77696  6.1777e-05
         215    -3.77623    -3.77695 6.15812e-05
         216    -3.77678    -3.77695 6.13011e-05
         217    -3.77685    -3.77695 6.10205e-05
         218    -3.77489    -3.77694 6.14691e-05
         219    -3.77676    -3.77694 6.11941e-05
         220    -3.77686    -3.77694 6.09172e-05
         221    -3.77663    -3.77694 6.06574e-05
         222    -3.77606    -3.77693 6.05138e-05
         223    -3.77818    -3.77694 6.04981e-05
         224    -3.77743    -3.77694 6.02679e-05
         225    -3.77771    -3.77695 6.00956e-05
         226    -3.77661    -3.77694 5.98484e-05
         227    -3.77642    -3.77694 5.96301e-05
         228     -3.7762    -3.77694 5.94563e-05
         229    -3.77622    -3.77694 5.92804e-05
         230    -3.77752    -3.77694 5.90769e-05
         231    -3.77625    -3.77694 5.88953e-05
         232    -3.77666    -3.77693 5.86533e-05
         233    -3.77776    -3.77694 5.85087e-05
         234    -3.77659    -3.77694 5.82773e-05
         235    -3.77687    -3.77694   5.803e-05
         236    -3.77648    -3.77693 5.78163e-05
         237    -3.77655    -3.77693 5.75952e-05
         238    -3.77675    -3.77693 5.73586e-05
         239    -3.77875    -3.77694 5.76224e-05
         240    -3.77814    -3.77694 5.75994e-05
         241     -3.7784    -3.77695 5.76759e-05
         242    -3.77751    -3.77695 5.74838e-05
         243    -3.77768    -3.77696 5.73253e-05
         244    -3.77576    -3.77695 5.72977e-05
         245    -3.77637    -3.77695 5.71127e-05
         246    -3.77613    -3.77694  5.6978e-05
         247    -3.77589    -3.77694  5.6908e-05
         248    -3.77806    -3.77694 5.68579e-05
         249    -3.77736    -3.77695 5.66541e-05
         250    -3.77661    -3.77695 5.64432e-05
