#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     44.6738     44.6738           0
           2     41.3486     43.0112     1.17564
           3     41.9125      42.645    0.838864
           4     42.6521     42.6467     0.62915
           5     43.4558     42.8086    0.523714
           6     50.6295     44.1121     1.26743
           7     37.8473     43.2171     1.36629
           8     40.5103     42.8787     1.23669
           9     44.2472     43.0308     1.10858
          10     48.0424      43.532     1.10522
          11     44.9751     43.6631      1.0125
          12     43.6373      43.661    0.928126
          13     41.0323     43.4588    0.878482
          14     43.2913     43.4468    0.815815
          15     54.2386     44.1663     1.03096
          16     47.0338     44.3455    0.981976
          17     44.8477      44.375    0.924657
          18     49.7187     44.6719     0.91971
          19     43.7329     44.6225     0.87263
          20     49.9365     44.8882    0.868509
