#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.392558    0.392558           0
           2    0.434155    0.413356   0.0147066
           3    0.418417    0.415043  0.00990064
           4    0.427842    0.418243  0.00792568
           5    0.439239    0.422442  0.00736946
           6    0.411367    0.420596   0.0063682
           7    0.406241    0.418546  0.00577922
           8      0.4221     0.41899  0.00507386
           9    0.431647    0.420396  0.00470098
          10     0.42893     0.42125  0.00430764
          11    0.432551    0.422277  0.00403669
          12    0.394784    0.419986  0.00430162
          13    0.394293    0.418009  0.00440141
          14    0.394032    0.416297  0.00440766
          15    0.446332    0.418299  0.00454594
          16    0.418916    0.418338  0.00426198
          17    0.440017    0.419613  0.00419773
          18    0.424003    0.419857   0.0039716
          19    0.409829    0.419329  0.00379747
          20    0.409859    0.418856    0.003637
