#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.938808   -0.938808           0
           2    -0.92992   -0.934364  0.00314238
           3    -0.93272   -0.933816  0.00214217
           4   -0.930904   -0.933088   0.0017259
           5     -0.9338    -0.93323  0.00138659
           6    -0.94428   -0.935072  0.00203995
           7   -0.928344   -0.934111  0.00196193
           8   -0.930288   -0.933633  0.00177393
           9   -0.935136     -0.9338  0.00158467
          10   -0.939848   -0.934405  0.00153729
          11   -0.936056   -0.934555  0.00140484
          12   -0.936832   -0.934745  0.00130053
          13   -0.931736   -0.934513  0.00122091
          14   -0.935224   -0.934564  0.00113475
          15   -0.945672   -0.935305   0.0012781
          16   -0.935984   -0.935347  0.00119892
          17   -0.935632   -0.935364  0.00112851
          18   -0.942112   -0.935739  0.00112637
          19    -0.93548   -0.935725  0.00106717
          20   -0.942344   -0.936056  0.00106389
