x	y	z
0.550619	0.457285	1.83061
1.43279	0.306213	1.25087
0.743846	0.186934	0.437859
-0.370544	-0.844276	-0.620722
0.690719	0.344795	-0.844932
-0.163276	0.544783	0.175296
-0.0112496	1.09674	0.122274
-0.814651	0.230227	0.614134
0.18535	0.622503	0.65293
1.2534	0.303029	0.511448
0.284852	0.115245	0.534719
0.000798596	-0.000293231	0.900258
-0.764093	0.154318	1.88665
-1.49525	-0.638992	1.56581
-1.46894	0.524286	0.651568
-1.35209	1.17508	0.193195
-1.84362	0.173481	1.0741
-1.3334	0.145878	1.36911
-1.02758	1.03953	0.324299
-2.18922	-0.0186009	0.216401
-2.43384	-0.879717	0.66615
-1.26418	-1.26963	1.38494
-0.562349	-0.493955	1.77839
-0.454232	-1.66675	1.29311
-0.671594	-2.05486	1.9657
-0.729161	-1.4577	1.7905
0.197066	-1.05335	2.85508
-0.752693	-1.6635	2.8142
0.393397	-0.921124	3.92112
-0.240807	-0.188775	3.31738
0.311662	0.975491	2.35736
0.503909	1.46877	1.40077
1.26765	2.58744	0.461704
0.326821	3.35512	0.55105
0.394851	3.41562	0.13564
0.448592	2.67391	0.188933
0.428673	3.29434	0.927819
0.562648	3.19249	-0.0692571
-0.251225	2.42635	0.637956
-1.344	1.95421	0.668831
-1.36678	1.36392	-0.143941
-0.878354	0.826597	0.0444258
-0.00149272	0.23247	-0.460267
-1.01699	-0.203953	0.308135
-0.578862	-0.890157	-0.298183
-0.451792	-0.352698	-1.01323
0.332982	0.263092	-0.181549
0.93946	-0.678239	0.938412
0.17913	-1.12755	0.894531
-0.915122	-1.56557	0.257643
0.216329	-0.862	0.457182
-0.746448	-0.388709	0.944876
-1.86756	0.0915726	0.580312
-2.67109	-0.44237	0.602501
-2.85688	0.478377	-0.0262543
-2.19488	0.518707	-0.0746081
-1.26547	1.58373	0.913927
-0.603001	2.20623	0.319367
0.0354591	2.07905	0.561038
0.298582	1.96816	1.08772
0.846855	1.66116	1.2432
1.28475	1.08356	1.25713
0.465962	0.995909	0.861219
-0.391612	0.345807	0.508777
0.155635	0.875955	-0.479783
-0.326059	1.04257	-0.299988
0.370995	0.636018	-0.303731
-0.430512	-0.346319	0.563199
-0.330228	-0.51439	1.27788
-0.81678	-0.470976	2.27836
-0.107999	0.539254	1.79088
-1.30269	-0.323044	1.28627
-0.272199	-0.738846	1.77496
-0.458688	0.0619187	0.73241
0.720988	-0.546998	-0.387174
0.14278	-0.973039	-1.28943
-0.541252	-0.802761	-0.50907
-1.16087	-0.0660275	-0.0131915
-0.22299	-0.622893	-0.821074
0.844905	-0.530973	0.377504
0.606453	-0.0243314	0.476945
-0.531771	0.843581	1.20531
-0.126826	0.581298	1.25501
0.112367	-0.0404106	0.437209
-0.187082	0.115292	0.262784
-0.0947358	-0.287898	-0.226416
-1.22136	-1.23452	0.254588
-2.08809	-0.103266	1.45139
-2.97639	-0.0987015	1.73218
-1.95276	0.2539	1.68364
-2.26396	-0.0204482	0.925696
-2.38666	-0.661868	0.0369206
-2.41825	-0.315662	0.659913
-2.10183	-0.0463611	1.84911
-2.95546	0.70937	1.88388
-3.2439	0.369439	0.753927
-3.15054	0.591641	0.300688
-3.19184	-0.365094	1.1927
-4.31994	-0.0942482	2.13429
-3.471	0.0999763	3.21026
-2.59285	0.219046	2.98657
-1.56285	1.06829	3.30222
-2.56693	1.20827	2.55709
-1.88903	0.858904	3.60342
-1.01341	-0.20833	2.50306
-0.76072	-0.902031	2.36195
-1.1806	-0.705707	2.10099
-0.999232	-0.954885	1.53475
-0.192233	-0.229272	0.760658
0.432521	0.462183	0.544369
-0.313841	-0.227892	1.01439
0.447526	-0.83147	0.453712
1.3982	-1.63505	0.97274
2.28888	-1.72236	-0.148855
2.64082	-2.17514	-0.497719
2.54477	-1.36317	-0.677017
1.40416	-1.95203	0.134278
1.87854	-0.933517	-0.618723
2.40689	-1.58322	-0.0349035
2.51825	-2.01104	-1.02125
2.20579	-2.85934	-1.28937
1.28096	-3.43764	-0.920125
0.387327	-3.0695	-0.230336
-0.293907	-3.39142	0.300455
0.524654	-3.75806	0.328217
0.616732	-3.91574	0.935282
0.6539	-4.4053	0.0954493
1.01566	-4.39224	-0.699386
0.318943	-3.65277	0.477409
