#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.552696   -0.552696           0
           2   -0.559192   -0.555944  0.00229668
           3   -0.555592   -0.555827  0.00153412
           4   -0.553976   -0.555364  0.00121836
           5   -0.556984   -0.555688  0.00101686
           6     -0.5536    -0.55534  0.00090497
           7   -0.556424   -0.555495 0.000788827
           8   -0.558376   -0.555855 0.000768049
           9   -0.552296    -0.55546 0.000777878
          10   -0.552592   -0.555173 0.000751087
          11   -0.554184   -0.555083 0.000688165
          12   -0.553432   -0.554945 0.000644423
          13   -0.557976   -0.555178 0.000635623
          14   -0.556136   -0.555247  0.00059389
          15   -0.554312   -0.555185 0.000557558
          16   -0.554032   -0.555113 0.000527343
          17   -0.556888   -0.555217  0.00050656
          18   -0.553512   -0.555122 0.000487193
          19   -0.552976   -0.555009 0.000474465
          20     -0.5572   -0.555119 0.000463214
