#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.20317     2.20317           0
           2     2.32345     2.26331   0.0425272
           3     2.23104     2.25255   0.0296805
           4     2.21322     2.24272   0.0238332
           5     2.19546     2.23327   0.0208568
           6     2.14913     2.21924   0.0215865
           7     2.14065     2.20802   0.0212227
           8     2.16672     2.20285   0.0191875
           9     2.22418     2.20522   0.0172013
          10     2.17354     2.20206   0.0157702
          11     2.24596     2.20605   0.0148331
          12     2.20619     2.20606    0.013597
          13     2.14474     2.20134   0.0133441
          14     2.28056       2.207   0.0135378
          15     2.10413     2.20014   0.0142671
          16     2.20697     2.20057   0.0133818
          17      2.1627     2.19834   0.0127787
          18     2.19042      2.1979   0.0120763
          19     2.13005     2.19433   0.0119571
          20     2.18939     2.19408   0.0113618
