# Temp	SpecificHeat	Error
2.00	0.196425	0.000528
1.80	0.229422	0.000941
1.60	0.271605	0.000916
1.40	0.316504	0.001101
1.20	0.371493	0.001475
1.00	0.420924	0.002472
0.80	0.439113	0.004138
0.60	0.426296	0.006766
0.50	0.343410	0.007814
