# Temp	Susceptibility	Error
2.00	1.355250	0.007256
1.80	1.689030	0.007074
1.60	2.180180	0.012859
1.40	2.970000	0.021496
1.20	4.356260	0.032135
1.00	7.461190	0.092509
0.80	15.365100	0.252903
0.60	43.279500	1.036990
0.50	77.141900	0.754864
