#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.873744    0.873744           0
           2    0.924904    0.899324   0.0180878
           3     0.83286    0.877169     0.02174
           4    0.950684    0.895548   0.0227856
           5    0.952288    0.906896   0.0208638
           6    0.818876    0.892226   0.0219461
           7    0.900612    0.893424   0.0188436
           8    0.873536    0.890938   0.0166514
           9     0.94182    0.896592   0.0157317
          10    0.929324    0.899865   0.0144951
          11      0.8424    0.894641   0.0140873
          12    0.964996    0.900504   0.0140806
          13    0.951868    0.904455   0.0135405
          14     0.87404    0.902282   0.0127464
          15    0.965772    0.906515   0.0125798
          16     0.76658    0.897769   0.0145189
          17    0.912192    0.898617   0.0136896
          18    0.952676    0.901621   0.0132544
          19    0.966212     0.90502   0.0129855
          20     0.93726    0.906632   0.0124359
