#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.6223     15.6223           0
           2     16.8466     16.2345    0.432852
           3     15.1239     15.8643    0.417881
           4     15.5077     15.7751    0.322779
           5     14.2522     15.4706    0.375359
           6     14.1866     15.2566    0.368783
           7     16.7062     15.4637    0.369697
           8      16.195     15.5551    0.334597
           9     15.6408     15.5646    0.297555
          10     15.7154     15.5797    0.268182
          11     16.2665     15.6421    0.250964
          12     13.2968     15.4467    0.296542
          13     16.6144     15.5365    0.287014
          14     14.3957      15.455    0.277839
          15     16.3236     15.5129    0.265283
          16     13.0383     15.3583    0.290309
          17      13.949     15.2754    0.284822
          18     16.3651     15.3359    0.275357
          19     14.1662     15.2743    0.267658
          20     16.7274      15.347    0.263951
