#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.851928   -0.851928           0
           2   -0.850368   -0.851148 0.000551543
           3   -0.849008   -0.850435 0.000688789
           4    -0.85272   -0.851006  0.00071532
           5   -0.845032   -0.849811  0.00121224
           6   -0.843392   -0.848741  0.00140511
           7   -0.852128   -0.849225  0.00128498
           8   -0.852696   -0.849659  0.00119536
           9   -0.847672   -0.849438  0.00108274
          10   -0.848744   -0.849369 0.000976686
          11   -0.845992   -0.849062 0.000934896
          12   -0.842176   -0.848488  0.00101797
          13   -0.852792   -0.848819 0.000992041
          14   -0.844312   -0.848497 0.000972015
          15   -0.849384   -0.848556  0.00090901
          16   -0.846504   -0.848428 0.000861199
          17   -0.848624    -0.84844 0.000810617
          18   -0.849264   -0.848485 0.000766876
          19   -0.849496   -0.848539 0.000728357
          20    -0.85228   -0.848726  0.00071556
