#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.444135    0.444135           0
           2    0.448002    0.446068  0.00136731
           3    0.447061    0.446399 0.000950709
           4    0.440559    0.444939   0.0014515
           5    0.443772    0.444706  0.00117983
           6    0.463501    0.447838  0.00302393
           7    0.455809    0.448977  0.00279812
           8    0.454357    0.449649  0.00252788
           9    0.477652    0.452761  0.00369512
          10    0.454777    0.452962  0.00333111
          11    0.444745    0.452215  0.00311092
          12     0.43583     0.45085  0.00313705
          13    0.417566     0.44829   0.0037995
          14    0.468497    0.449733  0.00379238
          15     0.43257    0.448589  0.00370814
          16    0.403045    0.445742  0.00443636
          17     0.43309    0.444998  0.00423737
          18    0.457195    0.445676  0.00405578
          19    0.450105    0.445909  0.00384901
          20    0.428969    0.445062   0.0037486
