# Temp	Energy	Error
2.00	-0.461811	0.000511
1.80	-0.504510	0.000327
1.60	-0.554361	0.000377
1.40	-0.613002	0.000482
1.20	-0.682184	0.000279
1.00	-0.761273	0.000623
0.80	-0.849324	0.000530
0.60	-0.933318	0.001359
0.50	-0.972120	0.000796
