#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    -3.69184    -3.67297           0
           2    -3.76804    -3.71088    0.268002
           3    -3.69542    -3.69943    0.218002
           4     -3.7127      -3.698    0.188522
           5    -3.79288     -3.7131    0.169727
           6    -3.74562    -3.71533    0.154894
           7    -3.73177    -3.71496     0.14329
           8    -3.75906    -3.71807    0.134106
           9    -3.69414    -3.71331    0.126304
          10     -3.7174    -3.71182    0.119734
          11    -3.67735    -3.70698    0.114072
          12    -3.77045    -3.71066     0.10934
          13    -3.74053    -3.71149     0.10504
          14    -3.72505     -3.7111    0.101179
          15    -3.71293    -3.70995   0.0977001
          16     -3.6799     -3.7069   0.0945468
          17    -3.72987    -3.70713   0.0917084
          18    -3.77862    -3.71003   0.0892197
          19    -3.65764    -3.70629    0.086813
          20    -3.73831    -3.70693   0.0846121
