#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.318266    0.318266           0
           2    0.305775     0.31202  0.00441635
           3    0.316441    0.313494  0.00318063
           4     0.31701    0.314373  0.00250395
           5    0.315052    0.314509  0.00200684
           6    0.315892    0.314739  0.00168555
           7    0.316698    0.315019   0.0014678
           8     0.32149    0.315828  0.00149066
           9    0.326611    0.317026  0.00174116
          10    0.315857    0.316909  0.00157096
          11    0.310418    0.316319  0.00153498
          12    0.317855    0.316447  0.00141239
          13     0.32427    0.317049  0.00142618
          14    0.316328    0.316997  0.00132523
          15    0.306795    0.316317  0.00140059
          16    0.317268    0.316377  0.00131431
          17    0.314285    0.316254  0.00124275
          18    0.318305    0.316368  0.00117892
          19    0.317646    0.316435  0.00111879
          20    0.324605    0.316843  0.00113498
