#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.87679     2.87679           0
           2     3.08861      2.9827   0.0748866
           3     3.03518     3.00019   0.0519277
           4     2.79343      2.9485   0.0593352
           5     3.10271     2.97935   0.0549013
           6     3.12557     3.00372   0.0508732
           7     3.03587     3.00831   0.0438124
           8     3.00905      3.0084    0.038336
           9     2.90631     2.99706   0.0357153
          10     2.85617     2.98297   0.0348118
          11     2.94361     2.97939   0.0318305
          12     3.01643     2.98248   0.0293272
          13     2.95134     2.98008   0.0271689
          14     3.01958      2.9829   0.0253743
          15     2.94755     2.98055   0.0237919
          16     3.01806     2.98289   0.0224202
          17     2.85017     2.97508   0.0224195
          18     3.07123     2.98043    0.021801
          19     2.89937     2.97616   0.0210668
          20     2.78311     2.96651   0.0221144
