#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.611376   -0.611376           0
           2    -0.61644   -0.613908  0.00179039
           3   -0.610368   -0.612728  0.00153393
           4   -0.609672   -0.611964  0.00132714
           5     -0.6158   -0.612731  0.00126416
           6   -0.613568   -0.612871  0.00106113
           7   -0.616536   -0.613394  0.00103067
           8   -0.611912   -0.613209 0.000918339
           9   -0.614688   -0.613373 0.000830875
          10   -0.612152   -0.613251 0.000756711
          11    -0.61464   -0.613377 0.000698372
          12   -0.612784   -0.613328 0.000641923
          13    -0.61256   -0.613269 0.000595256
          14    -0.61464   -0.613367 0.000560736
          15    -0.61444   -0.613438 0.000527898
          16   -0.613864   -0.613465 0.000495574
          17   -0.610432   -0.613287 0.000497502
          18   -0.619264   -0.613619 0.000570019
          19   -0.613976   -0.613637 0.000540328
          20   -0.611112   -0.613511  0.00052786
