#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.754368    0.754368           0
           2    0.786256    0.770312   0.0112741
           3    0.748484    0.763036  0.00958044
           4    0.646132     0.73381   0.0263106
           5    0.700864    0.727221    0.021858
           6    0.740568    0.729445   0.0183279
           7    0.761952    0.734089   0.0162873
           8    0.696164    0.729349   0.0149254
           9     0.70018    0.726108   0.0136143
          10    0.613936     0.71489   0.0162288
          11     0.68242    0.711939   0.0150195
          12    0.573632    0.700413   0.0176444
          13    0.653348    0.696793   0.0166544
          14    0.720384    0.698478   0.0155498
          15     0.54788    0.688438    0.017456
          16    0.654528    0.686319   0.0164931
          17    0.684852    0.686232   0.0155232
          18    0.727232     0.68851   0.0148269
          19    0.467312    0.676868   0.0180474
          20    0.692644    0.677657   0.0171623
