#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.07362     0.07362           0
           2    0.105812    0.089716   0.0113816
           3     0.10892   0.0961173  0.00921367
           4    0.053212    0.085391   0.0115777
           5    0.082004   0.0847136  0.00928192
           6    0.123932     0.09125  0.00976898
           7    0.075796   0.0890423  0.00861927
           8    0.116336    0.092454  0.00818929
           9     0.09888    0.093168  0.00731043
          10    0.104056   0.0942568  0.00665997
          11    0.099616    0.094744  0.00607232
          12    0.072468   0.0928877  0.00584315
          13    0.090632   0.0927142  0.00539625
          14    0.063572   0.0906326  0.00539737
          15    0.093704   0.0908373  0.00504143
          16     0.10852   0.0919425  0.00484596
          17    0.104008   0.0926522  0.00461259
          18    0.078792   0.0918822  0.00442014
          19    0.081508   0.0913362  0.00422109
          20    0.076492    0.090594  0.00407476
