#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.191352    0.191352           0
           2    0.174428     0.18289  0.00598354
           3    0.146848    0.170876   0.0105895
           4    0.133988    0.161654   0.0112632
           5    0.124196    0.154162    0.011229
           6    0.133176    0.150665  0.00988725
           7    0.137852    0.148834  0.00864255
           8    0.150924    0.149096  0.00756618
           9    0.127304    0.146674  0.00710235
          10    0.109552    0.142962  0.00729806
          11     0.11238    0.140182  0.00714456
          12    0.102828    0.137069  0.00719541
          13    0.119724    0.135735  0.00676448
          14    0.125896    0.135032  0.00631771
          15    0.161744    0.136813  0.00614238
          16    0.156956    0.138072  0.00588609
          17    0.115324    0.136734  0.00568991
          18    0.115696    0.135565  0.00549253
          19    0.119276    0.134708  0.00526993
          20    0.118528    0.133899  0.00506815
