#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.84744    -0.84744           0
           2   -0.852744   -0.850092  0.00187525
           3    -0.84712   -0.849101  0.00148902
           4   -0.844792   -0.848024  0.00145522
           5   -0.849952    -0.84841  0.00121419
           6   -0.848512   -0.848427  0.00101194
           7    -0.84584   -0.848057  0.00093241
           8   -0.849544   -0.848243 0.000834176
           9   -0.844512   -0.847828 0.000838194
          10    -0.84772   -0.847818 0.000754444
          11   -0.845504   -0.847607 0.000714575
          12    -0.84852   -0.847683 0.000659063
          13   -0.850784   -0.847922 0.000650093
          14    -0.84608    -0.84779 0.000616826
          15   -0.844624   -0.847579 0.000610756
          16   -0.852208   -0.847869 0.000637429
          17   -0.849616   -0.847971 0.000608165
          18   -0.847416    -0.84794  0.00057516
          19   -0.846136   -0.847845 0.000552674
          20    -0.84964   -0.847935 0.000532274
