#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.1257     15.1257           0
           2     16.7021     15.9139    0.557349
           3     14.9866     15.6048    0.449171
           4     14.5791     15.3484    0.403486
           5     13.6643     15.0116    0.441533
           6     15.2153     15.0455    0.369247
           7     14.9029     15.0252    0.317059
           8     15.4101     15.0733    0.281054
           9     13.5731     14.9066    0.295146
          10      16.281      15.044    0.295909
          11     13.3533     14.8903    0.306338
          12     14.7852     14.8816    0.280935
          13     16.0185      14.969    0.272597
          14     14.4884     14.9347    0.255278
          15     13.5518     14.8425    0.254362
          16     14.9829     14.8513    0.238616
          17       16.91     14.9724    0.253455
          18     14.5001     14.9461    0.240728
          19     14.9821      14.948    0.228066
          20     16.4316     15.0222    0.228408
