#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.458475    0.458475           0
           2    0.429862    0.444169   0.0101165
           3    0.446539    0.444959  0.00677512
           4    0.441756    0.444158  0.00512844
           5    0.419062    0.439139  0.00608163
           6     0.42974    0.437572  0.00526593
           7    0.428135    0.436224  0.00468305
           8    0.437134    0.436338  0.00409905
           9     0.41801    0.434301  0.00411853
          10    0.459194    0.436791  0.00439501
          11    0.418833    0.435158  0.00428795
          12    0.437279    0.435335  0.00393426
          13    0.447014    0.436233   0.0037328
          14    0.435312    0.436168  0.00346675
          15     0.43703    0.436225  0.00323611
          16    0.421457    0.435302  0.00316275
          17    0.455876    0.436512  0.00319989
          18    0.443153    0.436881  0.00304331
          19    0.438309    0.436956  0.00288407
          20     0.43199    0.436708  0.00275053
