# BLOCK:    VELOCITY:    BLOCK_POFV:    AVE_POFV:    ERROR:
           5     2.54558     0.36907    0.431453   0.0363966
           5     2.73415    0.233468    0.350312   0.0320734
           5     2.92271    0.330229    0.279587    0.016033
           5     3.11127    0.219891    0.292035   0.0228157
           5     3.29983      0.2948    0.238177   0.0208618
           5     3.48839    0.196468    0.155293   0.0135908
           5     3.67696    0.144098    0.130766   0.0186882
           5     3.86552    0.106287    0.120807   0.0263092
           5     4.05408    0.104617   0.0868023  0.00465398
           5     4.24264    0.112106   0.0859724   0.0176192
           5      4.4312    0.102923    0.050509   0.0160957
           5     4.61976   0.0520264   0.0264036   0.0112882
           5     4.80833   0.0223917   0.0140243  0.00725897
           5     4.99689  0.00594166  0.00912364  0.00382142
           5     5.18545   0.0102629  0.00626084  0.00247846
           5     5.37401           0  0.00434085  0.00322606
           5     5.56257           0  0.00669296  0.00540981

           6   0.0942809 0.000270076 0.000184142 0.000125427
           6    0.282843   0.0123744  0.00657593  0.00235568
           6    0.471405    0.083527   0.0398607   0.0104973
           6    0.659966    0.124529   0.0904303   0.0137115
           6    0.848528    0.117409   0.0930246   0.0114531
           6     1.03709    0.172652    0.200879   0.0169529
           6     1.22565     0.39156    0.318791   0.0400098
           6     1.41421     0.32112    0.348209   0.0240339
           6     1.60278    0.391929    0.334558    0.019308
           6     1.79134    0.258168     0.36558   0.0326025
           6      1.9799    0.356721    0.420062   0.0510701
           6     2.16846    0.311323    0.388929   0.0233109
           6     2.35702    0.474547    0.389625   0.0202223
           6     2.54558    0.354535    0.418633   0.0325098
           6     2.73415    0.338159    0.348287   0.0267917
           6     2.92271    0.350484    0.291403   0.0171716
           6     3.11127    0.286035    0.291035    0.019035
           6     3.29983     0.21827    0.234859   0.0176467
           6     3.48839    0.105919    0.147064   0.0135906
           6     3.67696    0.137665    0.131916   0.0156088
           6     3.86552   0.0818574    0.114316   0.0227111
           6     4.05408    0.112081   0.0910154  0.00546203
           6     4.24264   0.0942318    0.087349   0.0147364
           6      4.4312   0.0225145   0.0458433   0.0140731
           6     4.61976   0.0449798   0.0294996  0.00982228
           6     4.80833   0.0468458   0.0194945  0.00784401
           6     4.99689    0.043654   0.0148787  0.00614343
           6     5.18545   0.0116624  0.00716109  0.00222288
           6     5.37401  0.00790585  0.00493502  0.00274255
           6     5.56257   0.0104593  0.00732068  0.00454445

           7   0.0942809  0.00405113  0.00073657 0.000522625
           7    0.282843   0.0233493  0.00897212  0.00299974
           7    0.471405   0.0842145   0.0461969   0.0107411
           7    0.659966      0.1714    0.101997      0.0159
           7    0.848528    0.210806    0.109851    0.018413
           7     1.03709    0.315301    0.217225   0.0209803
           7     1.22565    0.239631    0.307483   0.0358567
           7     1.41421    0.238157    0.332488   0.0252238
           7     1.60278    0.247561     0.32213   0.0201565
           7     1.79134    0.338135    0.361659   0.0281797
           7      1.9799    0.409459    0.418547   0.0437969
           7     2.16846    0.399319    0.390413   0.0200279
           7     2.35702     0.38115    0.388414   0.0173696
           7     2.54558    0.391266    0.414724   0.0280997
           7     2.73415    0.361238    0.350137   0.0230281
           7     2.92271    0.250679    0.285586   0.0156731
           7     3.11127    0.265926    0.287448   0.0166502
           7     3.29983    0.192981    0.228877   0.0161079
           7     3.48839   0.0845091    0.138128   0.0142882
           7     3.67696   0.0850492     0.12522   0.0147452
           7     3.86552    0.131429     0.11676   0.0195978
           7     4.05408     0.18235    0.104063   0.0129554
           7     4.24264   0.0552918   0.0827694   0.0133238
           7      4.4312   0.0256326    0.042956   0.0123553
           7     4.61976   0.0359937   0.0304273  0.00846279
           7     4.80833   0.0674943   0.0263517  0.00924703
           7     4.99689    0.054678   0.0205643  0.00744559
           7     5.18545   0.0135774  0.00807771  0.00208576
           7     5.37401   0.0127427  0.00605039  0.00256757
           7     5.56257  0.00847055  0.00748495  0.00389821

           8   0.0942809           0 0.000644498 0.000465337
           8    0.282843  0.00714472  0.00874369  0.00263346
           8    0.471405   0.0881183   0.0514371   0.0105999
           8    0.659966   0.0841162   0.0997622   0.0140687
           8    0.848528    0.142845    0.113975   0.0165669
           8     1.03709    0.152715    0.209161    0.019847
           8     1.22565    0.383998    0.317047   0.0326253
           8     1.41421    0.287876    0.326911   0.0226788
           8     1.60278    0.288883    0.317974   0.0180603
           8     1.79134    0.329247    0.357608   0.0249468
           8      1.9799    0.534995    0.433103   0.0406692
           8     2.16846    0.430181    0.395384   0.0181309
           8     2.35702     0.27722    0.374515   0.0200008
           8     2.54558    0.337496     0.40507    0.026193
           8     2.73415     0.30683    0.344724   0.0207762
           8     2.92271    0.330008    0.291138   0.0146646
           8     3.11127    0.233738    0.280734   0.0158649
           8     3.29983    0.266663      0.2336   0.0147707
           8     3.48839    0.123989    0.136361    0.012611
           8     3.67696   0.0896651    0.120776   0.0135553
           8     3.86552    0.154999     0.12154   0.0177214
           8     4.05408    0.135283    0.107966   0.0119093
           8     4.24264    0.102948   0.0852917   0.0118947
           8      4.4312   0.0782728   0.0473706   0.0115727
           8     4.61976     0.10145   0.0393052   0.0111264
           8     4.80833   0.0294873   0.0267436  0.00809945
           8     4.99689  0.00245523   0.0183007  0.00685036
           8     5.18545  0.00225881  0.00735035  0.00194774
           8     5.37401 0.000245523  0.00532478  0.00234692
           8     5.56257 0.000171866  0.00657081  0.00351648

           9   0.0942809           0 0.000572887 0.000419107
           9    0.282843  0.00063836   0.0078431  0.00249009
           9    0.471405    0.056765   0.0520291  0.00943865
           9    0.659966   0.0627803   0.0956531   0.0130919
           9    0.848528    0.112965    0.113863   0.0147265
           9     1.03709    0.157945    0.203471   0.0184396
           9     1.22565      0.2934     0.31442   0.0291059
           9     1.41421    0.337963    0.328139   0.0201922
           9     1.60278    0.236341    0.308904   0.0181892
           9     1.79134    0.468016    0.369875     0.02501
           9      1.9799    0.471846    0.437408   0.0363776
           9     2.16846    0.421146    0.398247   0.0163407
           9     2.35702    0.386061    0.375798   0.0178196
           9     2.54558    0.345844     0.39849   0.0240951
           9     2.73415    0.347882    0.345075   0.0184707
           9     2.92271    0.375061    0.300463   0.0157228
           9     3.11127    0.343487    0.287707    0.015559
           9     3.29983    0.182817    0.227957   0.0141664
           9     3.48839    0.109111    0.133333   0.0115675
           9     3.67696   0.0824467    0.116517   0.0127005
           9     3.86552   0.0664386    0.115418   0.0167766
           9     4.05408    0.129317    0.110338   0.0108197
           9     4.24264    0.132607    0.090549   0.0116772
           9      4.4312   0.0380806   0.0463384   0.0103328
           9     4.61976   0.0518299   0.0406968  0.00997681
           9     4.80833   0.0394801   0.0281588   0.0073221
           9     4.99689   0.0454463   0.0213169  0.00672049
           9     5.18545  0.00758667  0.00737661  0.00173151
           9     5.37401           0  0.00473314  0.00215944
           9     5.56257           0  0.00584072  0.00320066

          10   0.0942809 0.000343732 0.000549972 0.000377822
          10    0.282843  0.00670278  0.00772907  0.00224369
          10    0.471405   0.0661931   0.0534455  0.00860041
          10    0.659966    0.112499   0.0973377   0.0118906
          10    0.848528     0.13052    0.115528   0.0133477
          10     1.03709    0.175181    0.200642   0.0168112
          10     1.22565    0.336269    0.316605   0.0262772
          10     1.41421    0.287925    0.324118   0.0185691
          10     1.60278    0.416677    0.319681   0.0193009
          10     1.79134    0.331825     0.36607   0.0227967
          10      1.9799    0.404156    0.434083   0.0328914
          10     2.16846    0.323059    0.390728   0.0163451
