#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.073432    0.073432           0
           2    0.053248     0.06334  0.00713612
           3    0.052924    0.059868  0.00553801
           4    0.039692    0.054824  0.00602769
           5     0.04752   0.0533632  0.00499603
           6     0.05124   0.0530093  0.00417587
           7    0.068892   0.0552783  0.00415021
           8    0.047304   0.0542815  0.00374922
           9    0.059908   0.0549067  0.00338436
          10    0.060556   0.0554716  0.00309272
          11    0.050388   0.0550095  0.00284588
          12    0.050824   0.0546607  0.00263001
          13    0.067532   0.0556508  0.00260742
          14    0.056504   0.0557117  0.00242189
          15    0.056964   0.0557952  0.00226187
          16    0.052132   0.0555663  0.00213206
          17    0.071856   0.0565245  0.00221151
          18    0.051564   0.0562489  0.00210575
          19    0.052276   0.0560398  0.00200528
          20      0.0709   0.0567828  0.00203802
