#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      2.9238      2.9238           0
           2       3.111      3.0174   0.0661852
           3     3.09151      3.0421   0.0485156
           4     2.92391     3.01256   0.0444836
           5     2.85079      2.9802   0.0458669
           6     2.76731     2.94472   0.0501007
           7     2.85115     2.93136   0.0446911
           8     2.99695     2.93956   0.0398497
           9     3.20359     2.96889    0.044942
          10     2.98659     2.97066   0.0404826
          11     3.01517     2.97471   0.0370041
          12     3.19622     2.99317   0.0382483
          13     2.88885     2.98514   0.0361381
          14     2.99973     2.98619   0.0335718
          15     2.76209     2.97125    0.034498
          16     2.95842     2.97044   0.0323512
          17     3.07995     2.97689   0.0310828
          18      3.0341     2.98006   0.0295181
          19     2.95886     2.97895   0.0279856
          20      3.1291     2.98646    0.027575
