#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.315924    0.315924           0
           2    0.321699    0.318812  0.00204169
           3     0.32672    0.321448  0.00254671
           4    0.323499    0.321961  0.00196097
           5     0.32283    0.322134  0.00157647
           6    0.315695    0.321061  0.00163878
           7    0.316049    0.320345  0.00155325
           8    0.321288    0.320463  0.00136356
           9    0.312017    0.319525  0.00150061
          10    0.313359    0.318908  0.00147176
          11    0.305353    0.317676   0.0017806
          12    0.320817    0.317938  0.00165135
          13    0.306291    0.317042  0.00175057
          14    0.318713    0.317161   0.0016296
          15    0.321221    0.317432  0.00154327
          16    0.311334    0.317051  0.00149313
          17    0.328544    0.317727  0.00155082
          18    0.328097    0.318303  0.00156803
          19    0.313559    0.318053  0.00150525
          20    0.320068    0.318154  0.00143335
