#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.27836     0.27836           0
           2    0.292088    0.285224  0.00485358
           3    0.356184    0.308877    0.019582
           4    0.363808     0.32261    0.018898
           5    0.315232    0.321134   0.0151759
           6    0.337012    0.323781   0.0128752
           7    0.302364    0.320721   0.0113936
           8    0.270616    0.314458   0.0115634
           9    0.293204    0.312096    0.010517
          10    0.255076    0.306394    0.010902
          11    0.369044     0.31209   0.0113011
          12     0.31488    0.312322   0.0103617
          13    0.152836    0.300054   0.0151794
          14    0.306944    0.300546   0.0141031
          15    0.294636    0.300152   0.0131684
          16     0.28586    0.299259   0.0123757
          17    0.267896    0.297414   0.0117844
          18     0.28344    0.296638   0.0111552
          19     0.33574    0.298696   0.0107563
          20     0.25372    0.296447   0.0104509
