#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.504608   -0.504608           0
           2   -0.501432    -0.50302  0.00112289
           3   -0.506872   -0.504304  0.00128821
           4     -0.5064   -0.504828  0.00106742
           5   -0.505848   -0.505032 0.000873216
           6    -0.50452   -0.504947 0.000731838
           7   -0.502816   -0.504642  0.00068768
           8   -0.502344   -0.504355 0.000659002
           9    -0.50324   -0.504231 0.000597311
          10    -0.50568   -0.504376 0.000554875
          11   -0.502872   -0.504239 0.000521005
          12   -0.504288   -0.504243 0.000477604
          13   -0.505152   -0.504313  0.00044595
          14   -0.503744   -0.504273 0.000415946
          15   -0.506768   -0.504439  0.00042017
          16   -0.503016    -0.50435 0.000403212
          17   -0.504288   -0.504346  0.00037951
          18   -0.504656   -0.504364 0.000358816
          19   -0.503688   -0.504328 0.000341688
          20   -0.501536   -0.504188 0.000351967
