#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.65953     1.65953           0
           2     1.65853     1.65903 0.000353553
           3     1.68714      1.6684  0.00765511
           4     1.68561      1.6727  0.00684485
           5      1.6066     1.65948   0.0130306
           6     1.63004     1.65458   0.0117465
           7     1.71145      1.6627    0.012568
           8     1.65731     1.66203    0.011015
           9     1.62815     1.65826   0.0104144
          10     1.70044     1.66248   0.0101915
          11     1.58555     1.65549   0.0114153
          12     1.74391     1.66286     0.01262
          13     1.65863     1.66253   0.0116534
          14     1.63573     1.66062   0.0109771
          15     1.80036     1.66993    0.013637
          16     1.68875     1.67111   0.0128353
          17     1.58592      1.6661   0.0130219
          18     1.66784     1.66619   0.0122988
          19      1.7064     1.66831   0.0118321
          20     1.65592     1.66769   0.0112567
