#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.228383    0.228383           0
           2    0.226077     0.22723 0.000815448
           3    0.230595    0.228352  0.00106491
           4    0.227605    0.228165 0.000814882
           5    0.233285    0.229189  0.00112414
           6     0.23568    0.230271  0.00136119
           7    0.233922    0.230792  0.00126273
           8      0.2255    0.230131  0.00126635
           9    0.230223    0.230141  0.00112569
          10    0.239147    0.231042  0.00132525
          11    0.236648    0.231551  0.00129909
          12    0.229494     0.23138  0.00120209
          13    0.230869    0.231341  0.00111026
          14    0.226875    0.231022   0.0010758
          15    0.234335    0.231243  0.00102651
          16    0.229692    0.231146 0.000966919
          17    0.226966      0.2309 0.000940785
          18    0.229572    0.230826 0.000891408
          19    0.227094     0.23063 0.000865863
          20    0.232783    0.230737  0.00082924
