#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152    -5.47463    -5.46442  0.00116576
         153    -5.46287    -5.46441  0.00115818
         154    -5.45022    -5.46432  0.00115432
         155    -5.47718     -5.4644  0.00114985
         156    -5.48382    -5.46453   0.0011492
         157     -5.4538    -5.46446  0.00114391
         158    -5.46013    -5.46443  0.00113699
         159    -5.47386    -5.46449  0.00113139
         160    -5.46695     -5.4645  0.00112442
         161    -5.47635    -5.46458  0.00111984
         162    -5.45447    -5.46452  0.00111467
         163    -5.44091    -5.46437  0.00111719
         164    -5.45461    -5.46431  0.00111196
         165    -5.46619    -5.46432  0.00110528
         166    -5.47519    -5.46439  0.00110056
         167    -5.47563    -5.46446  0.00109603
         168    -5.45932    -5.46442  0.00108993
         169    -5.47248    -5.46447  0.00108452
         170    -5.47714    -5.46455   0.0010807
         171    -5.45561    -5.46449  0.00107564
         172    -5.43933    -5.46435  0.00107929
         173    -5.46346    -5.46434  0.00107306
         174    -5.45263    -5.46428  0.00106901
         175    -5.44521    -5.46417  0.00106844
         176    -5.45523    -5.46412  0.00106357
         177    -5.47497    -5.46418  0.00105933
         178    -5.43266      -5.464  0.00106808
         179    -5.45657    -5.46396  0.00106291
         180    -5.47417    -5.46402  0.00105852
         181    -5.47122    -5.46406  0.00105342
         182    -5.47105    -5.46409  0.00104833
         183    -5.47484    -5.46415  0.00104425
         184    -5.46693    -5.46417  0.00103868
         185    -5.47316    -5.46422  0.00103421
         186    -5.47017    -5.46425  0.00102914
         187    -5.46199    -5.46424  0.00102371
         188    -5.46922    -5.46426  0.00101861
         189    -5.47491    -5.46432  0.00101477
         190    -5.44953    -5.46424  0.00101241
         191    -5.46827    -5.46426  0.00100733
         192     -5.4523     -5.4642  0.00100401
         193    -5.46746    -5.46422 0.000998951
         194    -5.46259    -5.46421 0.000993837
         195    -5.44244     -5.4641 0.000994988
         196    -5.48088    -5.46418 0.000993589
         197    -5.45726    -5.46415 0.000989167
         198    -5.47991    -5.46423 0.000987369
         199    -5.47525    -5.46428  0.00098396
         200    -5.45405    -5.46423 0.000980369
         201    -5.46093    -5.46421 0.000975628
         202    -5.46544    -5.46422 0.000970817
         203    -5.46778    -5.46424 0.000966193
         204    -5.46566    -5.46425 0.000961482
         205    -5.47078    -5.46428  0.00095732
         206    -5.46741    -5.46429 0.000952794
         207    -5.45532    -5.46425 0.000949176
         208    -5.47445     -5.4643 0.000945878
         209    -5.44927    -5.46423 0.000944081
         210    -5.45838     -5.4642 0.000939996
         211    -5.44156    -5.46409 0.000941643
         212    -5.44988    -5.46402 0.000939583
         213    -5.45053    -5.46396 0.000937304
         214    -5.48832    -5.46407 0.000939811
         215    -5.47298    -5.46412 0.000936353
         216    -5.47107    -5.46415 0.000932571
         217     -5.4557    -5.46411 0.000929085
         218    -5.47294    -5.46415 0.000925706
         219    -5.44161    -5.46405 0.000927184
         220     -5.4796    -5.46412 0.000925661
         221    -5.47501    -5.46417 0.000922783
         222    -5.47441    -5.46421 0.000919779
         223    -5.48946    -5.46433 0.000922594
         224    -5.45696    -5.46429 0.000919061
         225    -5.46681     -5.4643 0.000915044
         226    -5.45115    -5.46425 0.000912845
         227     -5.4618    -5.46424 0.000908887
         228    -5.46139    -5.46422 0.000904986
         229    -5.45789     -5.4642 0.000901457
         230    -5.46376    -5.46419  0.00089754
         231    -5.45454    -5.46415 0.000894626
         232    -5.45929    -5.46413 0.000891015
         233    -5.46507    -5.46413   0.0008872
         234    -5.45117    -5.46408 0.000885138
         235    -5.47855    -5.46414  0.00088351
         236     -5.4669    -5.46415 0.000879844
         237    -5.46028    -5.46414 0.000876283
         238    -5.46113    -5.46412 0.000872692
         239    -5.47732    -5.46418 0.000870786
         240    -5.44892    -5.46412 0.000869475
         241    -5.42427    -5.46395  0.00088145
         242    -5.48814    -5.46405 0.000883456
         243     -5.4564    -5.46402 0.000880381
         244    -5.45281    -5.46397 0.000877971
         245    -5.46315    -5.46397 0.000874394
         246     -5.4654    -5.46397 0.000870859
         247    -5.45932    -5.46396 0.000867537
         248    -5.47138    -5.46399 0.000864555
         249    -5.44545    -5.46391 0.000864283
         250     -5.4647    -5.46391 0.000860832
