#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.373034    0.373034           0
           2    0.373294    0.373164 9.19027e-05
           3    0.363723    0.370017  0.00257032
           4    0.357361    0.366853  0.00335029
           5    0.365227    0.366528  0.00269598
           6    0.363008    0.365941   0.0023096
           7     0.36696    0.366087  0.00198423
           8    0.361641    0.365531  0.00181235
           9    0.366864    0.365679  0.00161702
          10    0.363549    0.365466  0.00146928
          11    0.361934    0.365145  0.00137034
          12    0.372079    0.365723  0.00137258
          13    0.379607    0.366791  0.00163038
          14    0.372787    0.367219  0.00156918
          15    0.370707    0.367452  0.00148169
          16    0.368284    0.367504     0.00139
          17    0.369051    0.367595  0.00131121
          18    0.371353    0.367803  0.00125488
          19    0.374058    0.368133  0.00123125
          20    0.384537    0.368953  0.00141678
