#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.38811     1.38811           0
           2     1.36516     1.37663  0.00811334
           3     1.39648     1.38325  0.00764326
           4     1.39874     1.38712  0.00664205
           5     1.34156     1.37801  0.00972892
           6      1.3608     1.37514  0.00851998
           7     1.35781     1.37267  0.00765406
           8     1.42282     1.37894  0.00890226
           9     1.39684     1.38092  0.00813227
          10     1.34126     1.37696  0.00822952
          11     1.36029     1.37544  0.00761958
          12     1.32742     1.37144  0.00796654
          13      1.3314     1.36836  0.00792694
          14     1.32117     1.36499  0.00804549
          15     1.32894     1.36259  0.00785982
          16      1.3161     1.35968  0.00788742
          17      1.3631     1.35988  0.00742601
          18      1.2768     1.35527  0.00832535
          19     1.31659     1.35323   0.0081322
          20     1.33168     1.35215  0.00779668
