#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.194725    0.194725           0
           2    0.194726    0.194726 4.44626e-07
           3    0.197848    0.195766 0.000849777
           4    0.197658    0.196239 0.000757509
           5    0.196537    0.196299 0.000608351
           6    0.200546    0.197007  0.00082131
           7    0.197092    0.197019  0.00070407
           8    0.196405    0.196942 0.000620223
           9    0.192035    0.196397 0.000753816
          10    0.201279    0.196885 0.000821472
          11    0.191512    0.196397 0.000880134
          12    0.197432    0.196483 0.000811004
          13    0.196286    0.196468  0.00074876
          14    0.193523    0.196257 0.000724226
          15    0.194097    0.196113 0.000690113
          16    0.195795    0.196094 0.000647268
          17    0.193063    0.195915 0.000633262
          18    0.200771    0.196185 0.000653016
          19    0.194402    0.196091 0.000625352
          20    0.197623    0.196168 0.000598756
