#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462448   -0.462448           0
           2   -0.463936   -0.463192 0.000526087
           3     -0.4616   -0.462661 0.000557446
           4    -0.46328   -0.462816 0.000439017
           5   -0.464104   -0.463074 0.000420044
           6   -0.463688   -0.463176 0.000362304
           7    -0.46212   -0.463025 0.000340508
           8    -0.46308   -0.463032 0.000298013
           9   -0.464208   -0.463163 0.000292146
          10   -0.459168   -0.462763 0.000461247
          11   -0.459184   -0.462438 0.000521607
          12   -0.465488   -0.462692 0.000536509
          13   -0.462072   -0.462644 0.000497355
          14   -0.464208   -0.462756 0.000474205
          15   -0.463184   -0.462785 0.000443449
          16    -0.46152   -0.462706 0.000422718
          17   -0.461288   -0.462622 0.000405992
          18    -0.46028   -0.462492  0.00040375
          19   -0.466336   -0.462694 0.000430213
          20   -0.463008    -0.46271 0.000408989
