#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.505288   -0.505288           0
           2    -0.50692   -0.506104 0.000576999
           3   -0.502608   -0.504939  0.00102631
           4   -0.509488   -0.506076  0.00125005
           5   -0.506344    -0.50613  0.00100119
           6   -0.505096   -0.505957 0.000849015
           7   -0.504008   -0.505679 0.000772048
           8   -0.499896   -0.504956 0.000955805
           9   -0.503776   -0.504825  0.00085855
          10   -0.503464   -0.504689 0.000783407
          11   -0.505536   -0.504766 0.000715964
          12   -0.505952   -0.504865 0.000663089
          13    -0.50416    -0.50481 0.000614293
          14    -0.50324   -0.504698 0.000580567
          15   -0.504752   -0.504702 0.000541874
          16   -0.504496   -0.504689 0.000508159
          17    -0.50368    -0.50463 0.000481721
          18   -0.504624   -0.504629 0.000454959
          19    -0.50584   -0.504693 0.000435453
          20   -0.506416   -0.504779 0.000422116
