#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.228867    0.228867           0
           2    0.229528    0.229197 0.000233501
           3    0.227431    0.228609 0.000505385
           4    0.232053     0.22947 0.000836488
           5    0.236934    0.230963  0.00149365
           6    0.232058    0.231145  0.00125582
           7    0.229367    0.230891  0.00110182
           8    0.231758       0.231 0.000969401
           9    0.230703    0.230967 0.000862248
          10    0.234368    0.231307 0.000840435
          11    0.233295    0.231488 0.000783226
          12    0.231641      0.2315 0.000718062
          13     0.23437    0.231721  0.00069593
          14    0.233206    0.231827 0.000654253
          15    0.235464     0.23207 0.000654018
          16     0.23392    0.232185 0.000623286
          17    0.230853    0.232107  0.00059153
          18    0.235996    0.232323 0.000596824
          19    0.232521    0.232333 0.000565503
          20     0.22854    0.232144 0.000568143
