#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.6744      1.6744           0
           2     1.71581     1.69511   0.0146418
           3     1.65424     1.68149   0.0147974
           4     1.70609     1.68764   0.0123106
           5     1.68215     1.68654  0.00989728
           6     1.66711      1.6833  0.00876148
           7     1.66108     1.68013  0.00806428
           8     1.63824     1.67489  0.00858921
           9     1.68824     1.67638  0.00776183
          10     1.61956     1.67069  0.00882335
          11      1.6634     1.67003  0.00804614
          12     1.69755     1.67232  0.00769543
          13     1.74821     1.67816  0.00905055
          14     1.65026     1.67617  0.00862068
          15     1.68628     1.67684  0.00807228
          16      1.7515     1.68151  0.00881372
          17     1.68053     1.68145  0.00829545
          18     1.64151     1.67923  0.00812593
          19     1.65204      1.6778  0.00782326
          20     1.71662     1.67974  0.00766912
