#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.40217     4.40217           0
           2     4.53765     4.46991   0.0478994
           3     4.45031     4.46338   0.0323754
           4     4.54031     4.48261   0.0294455
           5      4.5605     4.49819   0.0273683
           6     4.33731     4.47138   0.0334562
           7     4.61351     4.49168   0.0342888
           8     4.51325     4.49438   0.0301085
           9     4.56723     4.50247   0.0278299
          10     4.26031     4.47826   0.0339869
          11     4.13945     4.44745   0.0426272
          12     4.29811     4.43501   0.0408514
          13     4.30861     4.42529   0.0388489
          14     4.32489     4.41811   0.0367299
          15     4.28641     4.40933   0.0353151
          16     4.33416     4.40464    0.033419
          17     4.49902     4.41019    0.031911
          18     4.21639     4.39942   0.0319029
          19     4.41185     4.40008   0.0302305
          20     5.00017     4.43008   0.0409885
