#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.681992   -0.681992           0
           2   -0.680056   -0.681024 0.000684479
           3   -0.682368   -0.681472 0.000584833
           4     -0.6866   -0.682754  0.00119375
           5   -0.682608   -0.682725 0.000955356
           6   -0.683912   -0.682923 0.000816363
           7   -0.684296   -0.683119  0.00072293
           8    -0.68364   -0.683184 0.000635492
           9   -0.686352   -0.683536 0.000655155
          10   -0.681168   -0.683299 0.000630985
          11   -0.680344   -0.683031 0.000628217
          12   -0.682592   -0.682994 0.000576928
          13   -0.680688   -0.682817 0.000559154
          14   -0.683448   -0.682862  0.00052103
          15     -0.6842   -0.682951 0.000493874
          16   -0.681712   -0.682874 0.000469038
          17   -0.685864   -0.683049 0.000473287
          18   -0.681152   -0.682944 0.000458582
          19   -0.679992   -0.682789 0.000460013
          20   -0.685976   -0.682948 0.000463798
