#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.402079    0.402079           0
           2    0.425776    0.413928   0.0083781
           3    0.405361    0.411072  0.00605249
           4    0.442132    0.418837   0.0081133
           5    0.435841    0.422238  0.00716806
           6    0.407648    0.419806  0.00637251
           7    0.422614    0.420207  0.00547476
           8    0.431229    0.421585  0.00496072
           9    0.413237    0.420657  0.00449541
          10     0.40987    0.419579   0.0041733
          11    0.416632    0.419311  0.00380249
          12    0.425994    0.419868  0.00352616
          13    0.422128    0.420042   0.0032592
          14     0.44596    0.421893  0.00351307
          15    0.423603    0.422007  0.00328071
          16    0.408209    0.421144    0.003187
          17    0.414528    0.420755   0.0030232
          18    0.417663    0.420583  0.00286012
          19    0.417805    0.420437  0.00271333
          20    0.410084     0.41992  0.00262658
