#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.76012    -0.76012           0
           2   -0.761264   -0.760692 0.000404465
           3   -0.760544   -0.760643 0.000272635
           4   -0.761472    -0.76085 0.000272123
           5   -0.762648    -0.76121 0.000388384
           6    -0.76196   -0.761335   0.0003432
           7   -0.760456   -0.761209 0.000316295
           8   -0.759744   -0.761026  0.00032549
           9   -0.765144   -0.761484 0.000519426
          10     -0.7606   -0.761395 0.000474939
          11     -0.7628   -0.761523 0.000448604
          12    -0.76236   -0.761593 0.000416609
          13   -0.760984   -0.761546 0.000387184
          14   -0.763816   -0.761708 0.000392016
          15    -0.76476   -0.761911 0.000415341
          16   -0.760552   -0.761827 0.000397978
          17    -0.76008   -0.761724 0.000387601
          18    -0.76212   -0.761746 0.000366692
          19    -0.75716   -0.761504 0.000419367
          20   -0.762384   -0.761548 0.000400698
