#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.29039     7.29039           0
           2     7.86105     7.57572    0.201757
           3     6.81134     7.32093    0.247733
           4     7.54283      7.3764    0.191911
           5     7.57221     7.41556    0.157474
           6      7.3298     7.40127    0.131875
           7     7.19405     7.37167    0.116311
           8     7.10631      7.3385    0.106397
           9     7.40459     7.34584    0.094828
          10     7.05726     7.31698   0.0896289
          11     7.44748     7.32885   0.0822622
          12     7.37612     7.33279   0.0755013
          13     7.40203     7.33811   0.0698811
          14     8.62118     7.42976     0.10959
          15     7.26941     7.41907    0.102804
          16     7.14371     7.40186   0.0978091
          17     6.86157     7.37008    0.097082
          18     7.29699     7.36602   0.0917734
          19     7.16694     7.35554   0.0875393
          20     7.01002     7.33826     0.08485
