#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.787436    0.787436           0
           2     0.64814    0.717788   0.0492486
           3    0.700892    0.712156   0.0331529
           4     0.49732    0.658447   0.0527422
           5    0.648236    0.656405   0.0422333
           6    0.667884    0.658318   0.0352377
           7    0.665768    0.659382   0.0302198
           8    0.772312    0.673499    0.029556
           9    0.754036    0.682447   0.0275934
          10    0.514684    0.665671   0.0294963
          11    0.703368    0.669098   0.0270132
          12    0.563092    0.660264   0.0261667
          13    0.746588    0.666904   0.0249822
          14    0.711724    0.670106    0.023402
          15    0.544592    0.661738   0.0232898
          16    0.572052    0.656133   0.0224986
          17    0.721848    0.659998   0.0215047
          18     0.62808    0.658225    0.020383
          19    0.731292    0.662071   0.0196696
          20    0.540004    0.655967   0.0196102
