#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.216204    0.216204           0
           2    0.205516     0.21086  0.00377878
           3    0.272388    0.231369   0.0169342
           4    0.285708    0.244954   0.0173123
           5    0.277124    0.251388   0.0149978
           6    0.305544    0.260414   0.0149698
           7     0.30838    0.267266   0.0143139
           8    0.272564    0.267929     0.01254
           9     0.30742    0.272316   0.0118896
          10    0.279812    0.273066   0.0107242
          11    0.269084    0.272704   0.0097554
          12    0.279796    0.273295  0.00896033
          13    0.318136    0.276744  0.00891029
          14    0.280348    0.277002  0.00827756
          15    0.239496    0.274501  0.00809456
          16    0.302152     0.27623  0.00777094
          17    0.250028    0.274688   0.0074651
          18    0.303916    0.276312  0.00722481
          19    0.288424    0.276949  0.00687263
          20    0.264084    0.276306  0.00655903
