#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.35459     1.35459           0
           2     1.33602      1.3453  0.00656761
           3     1.37265     1.35442  0.00863547
           4      1.3487     1.35299  0.00659378
           5     1.41676     1.36574   0.0125673
           6     1.34214     1.36181   0.0110714
           7     1.31078     1.35452   0.0116448
           8     1.40045     1.36026   0.0115179
           9     1.37434     1.36183   0.0103439
          10     1.36305     1.36195  0.00931022
          11      1.3837     1.36393   0.0086712
          12     1.40162     1.36707  0.00849865
          13     1.38834      1.3687  0.00800083
          14     1.36032      1.3681  0.00745172
          15     1.35954     1.36753  0.00697676
          16     1.38104     1.36838  0.00659161
          17     1.36163     1.36798  0.00621581
          18     1.37009      1.3681  0.00587159
          19     1.33513     1.36636  0.00581333
          20     1.38827     1.36746  0.00562493
