#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.461072   -0.461072           0
           2   -0.464176   -0.462624  0.00109743
           3   -0.461696   -0.462315 0.000773989
           4    -0.45804   -0.461246  0.00109248
           5   -0.459968    -0.46099 0.000903388
           6   -0.462968    -0.46132 0.000810724
           7   -0.462848   -0.461538 0.000723696
           8    -0.46156   -0.461541 0.000633239
           9   -0.465184   -0.461946 0.000680054
          10   -0.461416   -0.461893 0.000614108
          11   -0.461584   -0.461865 0.000558922
          12   -0.461976   -0.461874 0.000512422
          13   -0.463024   -0.461962  0.00048058
          14   -0.464712   -0.462159 0.000484724
          15    -0.46508   -0.462354  0.00048997
          16   -0.463104   -0.462401 0.000461586
          17    -0.46172    -0.46236 0.000436166
          18   -0.463656   -0.462432 0.000417831
          19   -0.460896   -0.462352 0.000403589
          20    -0.46016   -0.462242 0.000398008
