x	y	z
-8.97603	-7.74317	6.85574
-9.02811	-7.78873	6.88743
-9.08018	-7.83428	6.91912
-9.13226	-7.87983	6.95082
-9.18433	-7.92538	6.98251
-9.23641	-7.97093	7.0142
-9.28848	-8.01648	7.04589
-9.34055	-8.06203	7.07758
-9.39263	-8.10758	7.10927
-9.4447	-8.15314	7.14097
-9.49678	-8.19869	7.17266
-9.54885	-8.24424	7.20435
-9.60093	-8.28979	7.23604
-9.653	-8.33534	7.26773
-9.70508	-8.38089	7.29942
-9.75715	-8.42644	7.33112
-9.80922	-8.472	7.36281
-9.8613	-8.51755	7.3945
-9.91337	-8.5631	7.42619
-9.96545	-8.60865	7.45788
-10.0175	-8.6542	7.48957
-10.0696	-8.69975	7.52127
-10.1217	-8.7453	7.55296
-10.1737	-8.79085	7.58465
-10.2258	-8.83641	7.61634
-10.2779	-8.88196	7.64803
-10.33	-8.92751	7.67972
-10.382	-8.97306	7.71142
-10.4341	-9.01861	7.74311
-10.4862	-9.06416	7.7748
-10.5383	-9.10971	7.80649
-10.5903	-9.15527	7.83818
-10.6424	-9.20082	7.86987
-10.6945	-9.24637	7.90156
-10.7466	-9.29192	7.93326
-10.7986	-9.33747	7.96495
-10.8507	-9.38302	7.99664
-10.9028	-9.42857	8.02833
-10.9549	-9.47412	8.06002
-11.0069	-9.51968	8.09171
-11.059	-9.56523	8.12341
-11.1111	-9.61078	8.1551
-11.1632	-9.65633	8.18679
-11.2152	-9.70188	8.21848
-11.2673	-9.74743	8.25017
-11.3194	-9.79298	8.28186
-11.3715	-9.83853	8.31356
-11.4235	-9.88409	8.34525
-11.4756	-9.92964	8.37694
-11.5277	-9.97519	8.40863
-11.5798	-10.0207	8.44032
-11.6318	-10.0663	8.47201
-11.6839	-10.1118	8.50371
-11.736	-10.1574	8.5354
-11.7881	-10.2029	8.56709
-11.8401	-10.2485	8.59878
-11.8922	-10.294	8.63047
-11.9443	-10.3396	8.66216
-11.9963	-10.3852	8.69386
-12.0484	-10.4307	8.72555
-12.1005	-10.4763	8.75724
-12.1526	-10.5218	8.78893
-12.2046	-10.5674	8.82062
-12.2567	-10.6129	8.85231
-12.3088	-10.6585	8.88401
-12.3609	-10.704	8.9157
-12.4129	-10.7496	8.94739
-12.465	-10.7951	8.97908
-12.5171	-10.8407	9.01077
-12.5692	-10.8862	9.04246
-12.6212	-10.9318	9.07415
-12.6733	-10.9773	9.10585
-12.7254	-11.0229	9.13754
-12.7775	-11.0684	9.16923
-12.8295	-11.114	9.20092
-12.8816	-11.1595	9.23261
-12.9337	-11.2051	9.2643
-12.9858	-11.2506	9.296
-13.0378	-11.2962	9.32769
-13.0899	-11.3417	9.35938
-13.142	-11.3873	9.39107
-13.1941	-11.4328	9.42276
-13.2461	-11.4784	9.45445
-13.2982	-11.5239	9.48615
-13.3503	-11.5695	9.51784
-13.4024	-11.615	9.54953
-13.4544	-11.6606	9.58122
-13.5065	-11.7061	9.61291
-13.5586	-11.7517	9.6446
-13.6107	-11.7972	9.6763
-13.6627	-11.8428	9.70799
-13.7148	-11.8883	9.73968
-13.7669	-11.9339	9.77137
-13.819	-11.9794	9.80306
-13.871	-12.025	9.83475
-13.9231	-12.0705	9.86645
-13.9752	-12.1161	9.89814
-14.0272	-12.1617	9.92983
-14.0793	-12.2072	9.96152
-14.1314	-12.2528	9.99321
-14.1835	-12.2983	10.0249
-14.2355	-12.3439	10.0566
-14.2876	-12.3894	10.0883
-14.3397	-12.435	10.12
-14.3918	-12.4805	10.1517
-14.4438	-12.5261	10.1834
-14.4959	-12.5716	10.2151
-14.548	-12.6172	10.2467
-14.6001	-12.6627	10.2784
-14.6521	-12.7083	10.3101
-14.7042	-12.7538	10.3418
-14.7563	-12.7994	10.3735
-14.8084	-12.8449	10.4052
-14.8604	-12.8905	10.4369
-14.9125	-12.936	10.4686
-14.9646	-12.9816	10.5003
-15.0167	-13.0271	10.532
-15.0687	-13.0727	10.5637
-15.1208	-13.1182	10.5954
-15.1729	-13.1638	10.627
-15.225	-13.2093	10.6587
-15.277	-13.2549	10.6904
-15.3291	-13.3004	10.7221
-15.3812	-13.346	10.7538
-15.4333	-13.3915	10.7855
-15.4853	-13.4371	10.8172
-15.5374	-13.4826	10.8489
-15.5895	-13.5282	10.8806
-15.6416	-13.5737	10.9123
-15.6936	-13.6193	10.944
-15.7457	-13.6648	10.9757
-15.7978	-13.7104	11.0073
-15.8499	-13.7559	11.039
