# Temp	Magnetization	Error
2.00	0.028156	0.001791
1.80	0.033997	0.001403
1.60	0.040635	0.002647
1.40	0.058427	0.003152
1.20	0.090594	0.004075
1.00	0.133899	0.005068
0.80	0.276306	0.006559
0.60	0.655967	0.019610
0.50	0.886901	0.018692
