#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.996392   -0.996392           0
           2   -0.997072   -0.996732 0.000240416
           3   -0.985592   -0.993019  0.00303616
           4   -0.997888   -0.994236  0.00250932
           5   -0.998704    -0.99513  0.00216072
           6   -0.997168   -0.995469  0.00182711
           7   -0.998016   -0.995833  0.00160191
           8   -0.999752   -0.996323  0.00147467
           9   -0.994624   -0.996134  0.00132284
          10   -0.993096    -0.99583  0.00122495
          11   -0.996584   -0.995899  0.00111551
          12   -0.998824   -0.996143  0.00104884
          13   -0.996656   -0.996182 0.000968904
          14   -0.997096   -0.996247 0.000901893
          15   -0.996352   -0.996254 0.000841794
          16    -0.99564   -0.996216 0.000790057
          17   -0.991248   -0.995924 0.000795797
          18    -0.99632   -0.995946 0.000751891
          19   -0.992768   -0.995779 0.000730683
          20   -0.993944   -0.995687 0.000699882
