#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.97664    -0.97664           0
           2   -0.970088   -0.973364  0.00231648
           3    -0.96464   -0.970456  0.00283241
           4   -0.971896   -0.970816  0.00214707
           5     -0.9692   -0.970493  0.00174181
           6    -0.98152   -0.972331  0.00221848
           7   -0.981616   -0.973657  0.00226365
           8   -0.974744   -0.973793  0.00198476
           9   -0.971784    -0.97357  0.00177674
          10   -0.980264   -0.974239  0.00172056
          11    -0.97948   -0.974716  0.00162878
          12   -0.977312   -0.974932  0.00150735
          13   -0.973048   -0.974787  0.00139835
          14   -0.973384   -0.974687  0.00130205
          15   -0.970888   -0.974434  0.00123963
          16   -0.976808   -0.974582  0.00117101
          17   -0.978352   -0.974804  0.00112293
          18   -0.973584   -0.974736  0.00106258
          19   -0.959648   -0.973942  0.00126916
          20   -0.986776   -0.974584  0.00135828
